index,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6,4,15,0.37,0.00,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,Matches
1,2,Francesco Acerbi,it ITA,DF,Inter,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21,87,24,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,Matches
2,3,Yacine Adli,fr FRA,MF,Milan,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,Matches
3,4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
4,5,Lucien Agoume,fr FRA,MF,Inter,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,6,Marley Aké,fr FRA,FW,Udinese,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.6,11,10,12,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
8,9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,10,Luis Alberto,es ESP,MF,Lazio,30,1992,33,29,2311,25.7,5,7,12,5,0,0,7,0,4.7,4.7,4.7,9.4,83,212,124,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37,Matches
10,11,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,6,27,9,0.00,0.24,0.24,0.00,0.24,0.09,0.03,0.12,0.09,0.12,Matches
11,12,Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,30,25,2107,23.4,2,1,3,2,0,0,5,0,2.3,2.3,2.7,5.0,72,32,137,0.09,0.04,0.13,0.09,0.13,0.10,0.12,0.22,0.10,0.22,Matches
12,13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
13,14,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches
14,15,Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,38,33,2770,30.8,5,6,11,5,0,0,3,0,4.4,4.4,6.3,10.7,108,126,226,0.16,0.19,0.36,0.16,0.36,0.14,0.21,0.35,0.14,0.35,Matches
15,16,Angeliño,es ESP,DF,Roma,26,1997,16,14,1141,12.7,0,1,1,0,0,0,2,0,0.2,0.2,1.6,1.7,12,40,55,0.00,0.08,0.08,0.00,0.08,0.01,0.12,0.14,0.01,0.14,Matches
16,17,Houssem Aouar,dz ALG,"MF,FW",Roma,25,1998,16,9,756,8.4,4,0,4,4,0,0,3,0,2.3,2.3,0.5,2.8,17,26,60,0.48,0.00,0.48,0.48,0.48,0.28,0.05,0.33,0.28,0.33,Matches
17,18,Simone Aresti,it ITA,GK,Cagliari,37,1986,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,19,Marko Arnautović,at AUT,FW,Inter,34,1989,27,5,801,8.9,5,3,8,5,0,0,0,0,5.0,5.0,2.6,7.6,12,20,77,0.56,0.34,0.90,0.56,0.90,0.56,0.29,0.85,0.56,0.85,Matches
19,20,Kristjan Asllani,al ALB,MF,Inter,21,2002,23,6,787,8.7,1,2,3,1,0,0,1,0,0.6,0.6,1.1,1.6,5,32,8,0.11,0.23,0.34,0.11,0.34,0.07,0.12,0.19,0.06,0.18,Matches
20,21,Emil Audero,id IDN,GK,Inter,26,1997,4,4,337,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,22,Tommaso Augello,it ITA,DF,Cagliari,28,1994,32,28,2418,26.9,1,1,2,1,0,0,5,0,0.5,0.5,2.0,2.5,62,96,99,0.04,0.04,0.07,0.04,0.07,0.02,0.07,0.09,0.02,0.09,Matches
22,23,Carlos Augusto,br BRA,DF,Inter,24,1999,37,14,1725,19.2,0,3,3,0,0,0,1,0,1.0,1.0,2.8,3.9,42,54,88,0.00,0.16,0.16,0.00,0.16,0.05,0.15,0.20,0.05,0.20,Matches
23,24,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,16,9,904,10.0,2,0,2,2,0,0,0,0,0.9,0.9,0.5,1.4,24,30,20,0.20,0.00,0.20,0.20,0.20,0.09,0.05,0.14,0.09,0.14,Matches
24,25,Sardar Azmoun,ir IRN,"FW,MF",Roma,28,1995,23,3,585,6.5,3,0,3,3,0,0,4,0,2.9,2.9,1.4,4.2,5,14,35,0.46,0.00,0.46,0.46,0.46,0.44,0.21,0.65,0.44,0.65,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,26,Paulo Azzi,br BRA,"DF,MF",Cagliari,29,1994,25,9,950,10.6,0,0,0,0,0,0,1,0,1.2,1.2,0.7,1.9,47,35,42,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18,Matches
27,27,Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,18,5,547,6.1,2,2,4,2,0,0,4,0,0.5,0.5,0.6,1.0,4,19,8,0.33,0.33,0.66,0.33,0.66,0.08,0.09,0.17,0.08,0.17,Matches
28,28,Milan Badelj,hr CRO,MF,Genoa,34,1989,33,32,2535,28.2,1,3,4,1,0,0,6,0,1.4,1.4,1.1,2.5,18,151,36,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09,Matches
