nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
max aarons,"DF,MF",Valencia,4,1,120,0,0,2,0,0,6,10,2024-2025,laliga
rodrigo abajas,DF,Valencia,1,1,65,0,0,1,0,3,2,3,2024-2025,laliga
abel,DF,Osasuna,35,20,2074,2,0,3,0,50,77,92,2024-2025,laliga
nabil aberdin,MF,Getafe,7,4,263,0,0,1,0,2,6,2,2024-2025,laliga
abdel abqar,DF,Alavés,29,29,2463,0,1,13,0,16,79,4,2024-2025,laliga
akor adams,FW,Sevilla,4,1,134,0,0,0,0,0,5,5,2024-2025,laliga
adrián,GK,Betis,19,19,1710,0,0,3,0,0,0,0,2024-2025,laliga
julen agirrezabala,GK,Athletic Club,14,14,1206,0,0,1,1,0,0,0,2024-2025,laliga
lucien agoume,MF,Sevilla,35,24,2114,1,3,5,1,29,135,23,2024-2025,laliga
álvaro aguado,MF,Espanyol,16,4,443,0,1,3,0,15,37,4,2024-2025,laliga
lorenzo aguado,DF,Real Madrid,2,0,5,0,0,0,0,0,0,0,2024-2025,laliga
nayef aguerd,DF,Real Sociedad,21,21,1760,0,0,5,0,26,75,1,2024-2025,laliga
joseph aidoo,DF,Valladolid,8,6,583,0,0,0,0,1,14,0,2024-2025,laliga
joseph aidoo,DF,Celta Vigo,1,0,2,0,0,0,0,0,1,0,2024-2025,laliga
ilias akhomach,"MF,FW",Villarreal,11,7,584,1,0,1,0,30,12,64,2024-2025,laliga
david alaba,DF,Real Madrid,7,4,317,0,0,1,0,2,7,4,2024-2025,laliga
ibrahim alani,MF,Valladolid,3,1,160,0,0,0,0,2,5,1,2024-2025,laliga
raúl albiol,DF,Villarreal,15,14,1188,0,0,5,0,3,34,0,2024-2025,laliga
omar alderete,DF,Getafe,34,34,2971,1,0,8,0,25,112,7,2024-2025,laliga
carles aleñá,"MF,FW",Getafe,10,5,452,0,0,1,0,3,12,10,2024-2025,laliga
carles aleñá,"MF,FW",Alavés,14,13,1090,0,2,1,0,18,58,43,2024-2025,laliga
alfon,"FW,MF",Celta Vigo,26,14,1371,5,2,1,1,89,22,170,2024-2025,laliga
tadeo allende,FW,Celta Vigo,1,0,2,0,0,1,0,0,0,0,2024-2025,laliga
domingos andré ribeiro almeida,"MF,FW",Valencia,34,24,1977,0,4,2,0,45,142,77,2024-2025,laliga
iker almena,"FW,DF",Girona,2,0,48,0,1,0,0,6,2,10,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
marcos alonso,DF,Celta Vigo,31,29,2647,3,0,10,2,64,215,49,2024-2025,laliga
adrià altimira,"DF,FW",Leganés,22,19,1630,0,0,6,0,23,42,69,2024-2025,laliga
sergi altimira,MF,Betis,32,22,1972,0,1,4,0,25,99,30,2024-2025,laliga
hugo álvarez,"MF,DF",Celta Vigo,26,16,1572,4,3,6,0,74,60,171,2024-2025,laliga
julián álvarez,FW,Atlético Madrid,37,30,2509,17,4,5,0,79,92,162,2024-2025,laliga
yeray álvarez,DF,Athletic Club,21,20,1781,1,0,4,0,19,105,0,2024-2025,laliga
selim amallah,MF,Valladolid,24,18,1376,3,1,6,0,24,57,27,2024-2025,laliga
amath,"FW,DF",Valladolid,13,5,375,0,1,1,0,10,12,29,2024-2025,laliga
marcos andré,FW,Valladolid,22,14,1188,1,2,5,0,11,16,39,2024-2025,laliga
leandro antonetti,FW,Sevilla,2,0,28,0,0,0,0,1,0,3,2024-2025,laliga
antoniu,"FW,MF",Espanyol,26,13,1022,0,1,3,0,35,28,63,2024-2025,laliga
antony,FW,Betis,17,15,1362,5,2,2,1,94,67,157,2024-2025,laliga
anuar,"MF,FW",Valladolid,26,21,1720,2,0,7,0,24,30,68,2024-2025,laliga
aritz arambarri,DF,Leganés,2,2,177,0,0,0,0,0,2,0,2024-2025,laliga
mauro arambarri,MF,Getafe,35,31,2661,10,0,10,0,17,75,55,2024-2025,laliga
jon aramburu,DF,Real Sociedad,35,28,2460,1,1,8,0,26,97,53,2024-2025,laliga
ronald araújo,DF,Barcelona,12,11,754,1,1,3,0,6,49,3,2024-2025,laliga
adu ares,FW,Athletic Club,1,0,19,0,0,0,0,1,3,2,2024-2025,laliga
jesús areso,DF,Osasuna,36,35,3079,0,3,9,0,101,106,203,2024-2025,laliga
david argüelles,MF,Getafe,1,0,7,0,0,0,0,1,0,0,2024-2025,laliga
josé arnaiz,"FW,MF",Osasuna,15,1,133,0,0,0,0,6,4,20,2024-2025,laliga
sergio arribas,DF,Betis,1,1,90,0,0,0,0,0,1,4,2024-2025,laliga
takuma asano,"FW,MF",Mallorca,21,13,1054,2,1,0,0,28,20,76,2024-2025,laliga
raúl asencio,DF,Real Madrid,23,18,1670,0,1,3,0,5,27,4,2024-2025,laliga
iago aspas,"FW,MF",Celta Vigo,30,19,1745,10,5,6,1,50,132,143,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
yaser asprilla,"FW,MF",Girona,27,15,1405,3,1,2,0,72,77,140,2024-2025,laliga
ezequiel ávila,FW,Betis,19,6,677,2,0,5,1,12,18,48,2024-2025,laliga
adam aznou,DF,Valladolid,13,10,876,0,0,1,0,16,25,26,2024-2025,laliga
césar azpilicueta,DF,Atlético Madrid,14,10,875,1,0,1,0,13,66,20,2024-2025,laliga
papa ba,MF,Girona,1,0,48,0,0,0,0,1,0,2,2024-2025,laliga
loïc bade,DF,Sevilla,32,31,2686,1,1,7,1,11,62,6,2024-2025,laliga
alex baena,"MF,FW",Villarreal,32,30,2595,7,9,9,0,91,189,154,2024-2025,laliga
juma bah,DF,Valladolid,12,10,864,0,0,1,0,0,13,1,2024-2025,laliga
eric bailly,DF,Villarreal,12,8,617,0,0,2,1,1,18,0,2024-2025,laliga
stefan bajcetic,"MF,DF",Las Palmas,14,12,969,1,0,4,0,8,39,9,2024-2025,laliga
cédric bakambu,FW,Betis,25,6,710,2,2,4,0,9,14,43,2024-2025,laliga
alejandro balde,DF,Barcelona,32,26,2284,0,4,2,0,107,93,246,2024-2025,laliga
iván balliu,DF,Rayo Vallecano,25,12,1200,0,0,3,0,8,46,21,2024-2025,laliga
jonathan bamba,"FW,MF",Celta Vigo,12,10,811,0,1,1,0,31,30,71,2024-2025,laliga
adrian baquerin,FW,Valladolid,5,0,49,0,0,0,0,0,1,0,2024-2025,laliga
valentín barco,"DF,FW",Sevilla,7,3,288,0,0,0,0,4,13,13,2024-2025,laliga
borna barišić,DF,Leganés,1,1,9,0,0,0,0,0,0,0,2024-2025,laliga
kike barja,"FW,MF",Osasuna,15,3,315,0,1,3,0,22,4,39,2024-2025,laliga
enzo barrenechea,MF,Valencia,30,26,2191,1,2,6,0,21,126,16,2024-2025,laliga
ander barrenetxea,"MF,FW",Real Sociedad,30,14,1263,1,3,6,0,43,48,152,2024-2025,laliga
