nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
max aarons,DF,2000,3,1,86,0,0,0,0,1,8,3,2024-2025,premier-league
joshua acheampong,DF,2006,4,2,170,0,0,1,0,0,8,0,2024-2025,premier-league
tyler adams,MF,1999,28,21,1965,0,3,7,0,14,76,10,2024-2025,premier-league
tosin adarabioyo,DF,1997,22,15,1409,1,1,4,0,5,42,1,2024-2025,premier-league
simon adingra,"FW,MF",2002,29,12,1097,2,2,0,0,50,18,136,2024-2025,premier-league
emmanuel agbadou,DF,1997,16,16,1410,1,0,3,0,6,31,2,2024-2025,premier-league
asher agbinone,MF,2005,2,0,6,0,0,0,0,2,0,1,2024-2025,premier-league
ola aina,DF,1996,35,35,2995,2,1,5,0,67,107,67,2024-2025,premier-league
rayan aït-nouri,DF,2001,37,37,3109,4,7,7,1,89,108,176,2024-2025,premier-league
kristoffer ajer,DF,1998,24,17,1438,0,0,5,0,27,56,44,2024-2025,premier-league
manuel akanji,DF,1995,26,23,2014,0,0,3,0,46,158,7,2024-2025,premier-league
nathan aké,DF,1995,10,8,678,0,0,0,0,12,50,2,2024-2025,premier-league
carlos alcaraz,MF,2002,1,0,10,0,0,0,0,4,6,1,2024-2025,premier-league
carlos alcaraz,"FW,MF",2002,15,7,764,2,3,4,0,19,42,21,2024-2025,premier-league
trent alexander-arnold,DF,1998,33,28,2365,3,6,5,0,51,232,94,2024-2025,premier-league
alisson,GK,1992,28,28,2508,0,0,0,0,0,1,0,2024-2025,premier-league
miguel almirón,FW,1994,9,1,157,0,0,0,0,3,6,18,2024-2025,premier-league
olabade aluko,DF,,1,0,2,0,0,0,0,0,0,0,2024-2025,premier-league
edson álvarez,MF,1997,28,20,1772,0,1,9,1,24,85,18,2024-2025,premier-league
will alves,FW,2005,1,0,1,0,0,0,0,0,0,1,2024-2025,premier-league
harry amass,DF,2007,5,4,346,0,0,0,0,9,7,23,2024-2025,premier-league
samuel amo-ameyaw,"FW,DF",2006,2,0,28,0,0,1,0,1,0,3,2024-2025,premier-league
mathis amougou,MF,2006,1,0,8,0,0,0,0,0,1,0,2024-2025,premier-league
joachim andersen,DF,1996,1,1,90,0,0,1,0,1,4,1,2024-2025,premier-league
joachim andersen,DF,1996,29,29,2583,0,0,6,1,16,112,2,2024-2025,premier-league
elliot anderson,MF,2002,37,33,2728,2,6,10,0,52,143,95,2024-2025,premier-league
andré,MF,2001,33,31,2472,0,0,7,0,10,109,11,2024-2025,premier-league
michail antonio,FW,1990,14,11,836,1,1,1,0,29,18,59,2024-2025,premier-league
antony,"DF,MF",2000,8,0,141,0,0,0,0,5,6,7,2024-2025,premier-league
julian araujo,DF,2001,12,7,497,0,0,2,0,4,14,22,2024-2025,premier-league
cameron archer,FW,2001,35,13,1441,2,0,0,0,22,14,66,2024-2025,premier-league
alphonse areola,GK,1993,26,25,2260,0,0,0,0,0,1,0,2024-2025,premier-league
joe aribo,"MF,DF",1996,32,21,2013,3,0,1,0,36,75,65,2024-2025,premier-league
adam armstrong,"FW,MF",1997,20,15,1248,2,2,4,0,25,21,79,2024-2025,premier-league
harrison armstrong,MF,2007,3,0,48,0,0,1,0,1,1,0,2024-2025,premier-league
kepa arrizabalaga,GK,1994,31,31,2790,0,0,3,0,0,2,0,2024-2025,premier-league
marco asensio,MF,1996,13,9,743,3,1,2,0,22,45,38,2024-2025,premier-league
brandon austin,GK,1999,1,1,90,0,0,0,0,0,0,0,2024-2025,premier-league
taiwo awoniyi,FW,1997,26,3,416,1,0,0,0,6,7,20,2024-2025,premier-league
yasin ayari,MF,2003,34,22,1965,2,1,3,0,30,75,61,2024-2025,premier-league
jordan ayew,"FW,MF",1991,1,0,21,0,0,1,0,0,0,1,2024-2025,premier-league
jordan ayew,"FW,MF",1991,30,19,1638,5,0,5,0,49,46,86,2024-2025,premier-league
benoît badiashile,DF,2001,5,3,334,0,0,0,0,3,17,2,2024-2025,premier-league
leon bailey,"FW,MF",1997,24,14,1139,1,2,3,0,58,35,121,2024-2025,premier-league
carlos baleba,MF,2004,34,31,2661,3,1,8,1,43,118,29,2024-2025,premier-league
ross barkley,MF,1993,20,3,581,3,1,3,0,15,36,10,2024-2025,premier-league
harvey barnes,FW,1997,33,17,1755,9,4,0,0,93,83,192,2024-2025,premier-league
calvin bassey,DF,1999,35,34,3074,1,0,7,0,39,116,15,2024-2025,premier-league
altay bayındır,GK,1998,4,4,360,0,0,0,0,0,0,0,2024-2025,premier-league
jan bednarek,DF,1996,30,30,2531,2,0,7,0,5,60,2,2024-2025,premier-league
armel bella kotchap,DF,2001,4,2,331,0,0,0,0,0,5,0,2024-2025,premier-league
jean-ricner bellegarde,"MF,FW",1998,35,20,1677,2,7,3,0,52,43,89,2024-2025,premier-league
rodrigo bentancur,MF,1997,26,21,1645,2,0,9,0,28,100,34,2024-2025,premier-league
daniel bentley,GK,1993,2,2,180,0,0,0,0,0,0,0,2024-2025,premier-league
sander berge,MF,1998,31,26,2224,0,0,6,0,29,124,9,2024-2025,premier-league
