nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
james abankwah,"DF,MF",2004,6,0,88,0,0,1,0,3,4,1,2024-2025,serie-a
saud abdulhamid,DF,1999,4,2,205,0,1,0,0,6,9,26,2024-2025,serie-a
oliver abildgaard,MF,1996,1,0,7,0,0,0,0,0,0,0,2024-2025,serie-a
tammy abraham,FW,1997,1,0,1,0,0,0,0,0,1,2,2024-2025,serie-a
tammy abraham,FW,1997,28,12,1183,3,4,1,0,8,26,69,2024-2025,serie-a
federico accornero,MF,2004,1,0,5,0,0,0,0,0,0,0,2024-2025,serie-a
francesco acerbi,DF,1988,23,20,1710,0,1,0,0,19,62,22,2024-2025,serie-a
che adams,FW,1996,36,30,2652,9,3,2,0,23,40,153,2024-2025,serie-a
yacine adli,MF,2000,25,14,1219,4,6,3,1,24,103,30,2024-2025,serie-a
vasilije adžić,"MF,FW",2006,6,0,42,0,0,0,0,0,1,3,2024-2025,serie-a
michel aebischer,MF,1997,14,9,724,0,0,2,0,8,33,17,2024-2025,serie-a
honest ahanor,"DF,MF",2008,6,3,270,0,0,0,0,3,3,7,2024-2025,serie-a
junior ajayi,FW,2004,2,0,13,0,0,0,0,0,1,0,2024-2025,serie-a
jean-daniel akpa-akpro,MF,1992,14,12,966,0,0,4,0,21,19,22,2024-2025,serie-a
david akpan ankeye,"FW,MF",2002,4,0,45,0,0,0,0,0,1,3,2024-2025,serie-a
faride alidou,"FW,MF",2001,3,0,71,0,0,0,0,1,1,2,2024-2025,serie-a
dele alli,MF,1996,1,0,9,0,0,0,1,0,0,1,2024-2025,serie-a
pontus almqvist,"FW,MF",1999,29,10,1112,1,1,5,0,42,12,85,2024-2025,serie-a
giorgio altare,DF,1998,12,8,753,0,0,2,0,4,20,5,2024-2025,serie-a
sofyan amrabat,MF,1996,2,2,180,0,0,0,0,2,14,1,2024-2025,serie-a
angeliño,DF,1997,38,36,3177,2,1,1,0,66,172,172,2024-2025,serie-a
lorenzo anghelè,FW,2005,1,0,6,0,0,0,0,0,1,0,2024-2025,serie-a
faustino anjorin,MF,2001,22,14,1114,2,3,3,0,28,55,35,2024-2025,serie-a
marko arnautović,FW,1989,17,5,527,4,2,1,0,4,16,61,2024-2025,serie-a
kristjan asllani,MF,2002,21,10,980,2,2,4,0,7,55,20,2024-2025,serie-a
arthur atta,"MF,FW",2003,27,12,1251,0,1,5,0,31,57,77,2024-2025,serie-a
emil audero,GK,1997,8,8,720,0,0,0,0,0,0,0,2024-2025,serie-a
tommaso augello,DF,1994,38,30,2713,0,7,3,0,58,118,113,2024-2025,serie-a
carlos augusto,DF,1999,28,15,1625,3,2,1,0,31,80,83,2024-2025,serie-a
yann aurel bisseck,DF,2000,26,16,1553,3,2,4,0,32,93,44,2024-2025,serie-a
paulo azzi,DF,1994,6,5,426,0,0,2,0,15,13,26,2024-2025,serie-a
oussama el azzouzi,MF,2001,2,0,19,0,0,0,0,0,4,0,2024-2025,serie-a
jacopo bacci,MF,2005,3,0,31,0,0,0,0,0,1,0,2024-2025,serie-a
milan badelj,MF,1989,23,21,1472,1,0,2,0,8,83,14,2024-2025,serie-a
mitchel bakker,MF,2000,1,0,22,0,0,0,0,0,1,1,2024-2025,serie-a
tommaso baldanzi,"MF,FW",2003,31,5,832,1,1,2,0,39,23,57,2024-2025,serie-a
keita baldé,FW,1995,11,8,638,2,0,2,0,19,35,29,2024-2025,serie-a
botond balogh,DF,2002,29,23,2053,0,1,5,0,7,37,1,2024-2025,serie-a
mario balotelli,"FW,MF",1990,6,0,62,0,0,2,0,0,1,5,2024-2025,serie-a
lameck banda,"FW,MF",2001,15,6,610,0,1,1,0,27,7,46,2024-2025,serie-a
daniel bandeira,MF,2000,11,4,407,0,0,1,0,1,25,4,2024-2025,serie-a
mattia bani,DF,1993,20,19,1507,0,0,3,0,6,25,3,2024-2025,serie-a
antonín barák,MF,1994,1,1,54,0,0,0,0,2,2,5,2024-2025,serie-a
federico barba,DF,1993,7,5,431,0,0,0,0,5,25,5,2024-2025,serie-a
nicolò barella,MF,1997,32,28,2456,3,6,4,0,63,235,133,2024-2025,serie-a
davide bartesaghi,DF,2005,4,1,118,0,0,0,1,2,2,17,2024-2025,serie-a
federico baschirotto,DF,1996,38,38,3420,2,0,3,0,13,71,5,2024-2025,serie-a
daniele baselli,MF,1992,2,1,22,0,0,0,0,2,4,0,2024-2025,serie-a
alessandro bastoni,DF,1999,32,30,2333,1,5,6,1,62,162,83,2024-2025,serie-a
reda belahyane,MF,2004,22,17,1658,0,2,6,1,22,73,13,2024-2025,serie-a
reda belahyane,MF,2004,6,1,198,0,0,0,1,4,10,1,2024-2025,serie-a
raoul bellanova,DF,2000,1,1,87,0,0,0,0,4,0,5,2024-2025,serie-a
raoul bellanova,DF,2000,34,27,2402,0,9,3,0,83,87,191,2024-2025,serie-a
andrea belotti,FW,1993,18,7,593,2,0,1,0,9,9,33,2024-2025,serie-a
lucas beltrán,"FW,MF",2001,32,20,1864,5,4,6,0,23,64,94,2024-2025,serie-a
adrian benedyczak,"FW,MF",2000,9,2,214,0,0,0,0,3,3,12,2024-2025,serie-a
ismaël bennacer,MF,1997,6,4,300,0,0,2,0,8,23,12,2024-2025,serie-a
medon berisha,MF,2003,17,7,716,0,1,5,0,13,42,17,2024-2025,serie-a
adrian bernabe,MF,2001,21,18,1453,1,1,1,0,37,115,20,2024-2025,serie-a
antoine bernede,MF,1999,14,7,594,1,0,2,0,7,29,22,2024-2025,serie-a
sam beukema,DF,1998,35,33,3012,0,1,1,0,27,153,9,2024-2025,serie-a
alessandro bianco,MF,2002,34,29,2600,1,0,9,0,35,125,24,2024-2025,serie-a
alessandro bianco,MF,2002,1,0,18,0,0,0,0,0,0,1,2024-2025,serie-a
jaka bijol,DF,1999,34,34,2963,1,0,13,1,22,98,10,2024-2025,serie-a
philip billing,MF,1996,10,1,197,1,0,1,0,1,5,8,2024-2025,serie-a
cristiano biraghi,DF,1992,15,13,1158,0,0,0,0,24,36,49,2024-2025,serie-a
cristiano biraghi,DF,1992,8,5,433,1,0,1,0,3,15,17,2024-2025,serie-a
samuele birindelli,"DF,MF",1999,21,18,1468,3,0,2,0,40,35,100,2024-2025,serie-a
bjarki bjarkason,"DF,MF",2000,9,1,165,0,0,2,0,6,10,13,2024-2025,serie-a
emil bohinen,MF,1999,3,1,166,0,0,0,0,6,5,2,2024-2025,serie-a
warren bondo,MF,2003,20,19,1618,0,0,5,1,25,39,21,2024-2025,serie-a
warren bondo,MF,2003,4,3,162,0,0,1,0,2,7,0,2024-2025,serie-a
kevin bonifazi,DF,1996,3,0,65,0,0,0,0,0,1,1,2024-2025,serie-a
ange-yoan bonny,FW,2003,37,30,2529,6,4,2,0,41,53,163,2024-2025,serie-a
edoardo bove,"MF,FW",2002,11,10,836,1,2,3,0,12,37,24,2024-2025,serie-a
domagoj bradarić,DF,1999,28,24,1933,1,0,6,0,30,46,83,2024-2025,serie-a
matthias braunöder,MF,2002,8,3,268,0,0,3,1,2,18,0,2024-2025,serie-a
iker bravo,"FW,MF",2005,29,4,682,2,1,3,0,7,18,39,2024-2025,serie-a
gleison bremer,DF,1997,6,6,540,0,0,2,0,2,21,0,2024-2025,serie-a
brenner,"MF,FW",2000,9,5,386,1,2,0,0,5,7,16,2024-2025,serie-a
marco brescianini,MF,2000,29,9,991,4,2,1,0,46,36,69,2024-2025,serie-a
arvid brorsson,DF,1999,6,3,362,0,0,0,0,1,9,1,2024-2025,serie-a
tajon buchanan,"DF,FW",1999,6,0,95,0,0,0,0,6,2,8,2024-2025,serie-a
alessandro buongiorno,DF,1999,22,22,1924,1,0,2,0,27,82,8,2024-2025,serie-a
rareș-cătălin burnete,FW,2004,4,0,28,0,0,0,0,0,0,4,2024-2025,serie-a
gianluca busio,MF,2002,33,28,2518,2,0,4,0,60,95,135,2024-2025,serie-a
