nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
paxten aaronson,2,2,2,66.7,6,5,2,1,1,2022-2023,bundesliga
sargis adamyan,5,3,6,41.2,14,7,12,0,12,2022-2023,bundesliga
karim adeyemi,6,6,4,26.7,16,11,18,1,17,2022-2023,bundesliga
amine adli,4,6,8,29.4,18,10,28,2,26,2022-2023,bundesliga
felix agu,0,1,0,,1,0,1,1,0,2022-2023,bundesliga
naouirou ahamada,7,7,3,40.0,17,11,16,5,11,2022-2023,bundesliga
ludovic ajorque,1,4,1,11.1,6,5,8,2,6,2022-2023,bundesliga
kevin akpoguma,45,27,3,71.1,75,44,45,16,29,2022-2023,bundesliga
lucas alario,1,0,2,0.0,3,2,0,0,0,2022-2023,bundesliga
faride alidou,3,4,1,33.3,8,5,3,0,3,2022-2023,bundesliga
éder álvarez balanta,2,3,0,33.3,5,4,0,0,0,2022-2023,bundesliga
lukáš ambros,1,0,0,25.0,1,0,1,0,1,2022-2023,bundesliga
nadiem amiri,5,8,2,45.0,15,6,12,1,11,2022-2023,bundesliga
robert andrich,30,27,4,57.8,61,38,27,9,18,2022-2023,bundesliga
angeliño,19,18,3,62.2,40,24,32,6,26,2022-2023,bundesliga
waldemar anton,27,19,3,52.9,49,27,44,16,28,2022-2023,bundesliga
christopher antwi-adjei,7,8,8,34.5,23,15,17,0,17,2022-2023,bundesliga
charles aránguiz,7,10,0,60.0,17,7,4,0,4,2022-2023,bundesliga
maximilian arnold,25,28,9,51.9,62,31,34,11,23,2022-2023,bundesliga
takuma asano,4,4,6,43.8,14,9,17,1,16,2022-2023,bundesliga
fisnik asllani,0,0,0,0.0,0,0,2,0,2,2022-2023,bundesliga
mehmet aydin,14,9,2,45.8,25,18,11,0,11,2022-2023,bundesliga
ayman azhil,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
sardar azmoun,1,4,1,14.3,6,3,4,0,4,2022-2023,bundesliga
sanoussy ba,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
mitchel bakker,9,7,0,40.0,16,8,20,2,18,2022-2023,bundesliga
ridle baku,29,17,4,55.2,50,26,44,6,38,2022-2023,bundesliga
aymen barkok,10,5,3,50.0,18,8,7,0,7,2022-2023,bundesliga
leandro barreiro martins,19,28,13,44.9,60,38,38,13,25,2022-2023,bundesliga
gil bastião dias,3,4,1,25.0,8,6,7,0,7,2022-2023,bundesliga
maximilian bauer,18,12,1,50.0,31,17,25,9,16,2022-2023,bundesliga
oliver baumann,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
timo baumgartl,5,4,2,27.8,11,6,12,4,8,2022-2023,bundesliga
julian baumgartlinger,5,6,4,31.6,15,4,4,2,2,2022-2023,bundesliga
christoph baumgartner,12,17,7,17.3,36,19,57,5,52,2022-2023,bundesliga
noah joel sarenren bazee,0,0,0,0.0,0,0,1,0,1,2022-2023,bundesliga
ihlas bebou,8,7,4,64.7,19,16,9,2,7,2022-2023,bundesliga
sheraldo becker,1,7,7,18.2,15,5,13,1,12,2022-2023,bundesliga
kevin behrens,4,4,3,22.2,11,7,18,3,15,2022-2023,bundesliga
stefan bell,32,10,1,50.0,43,28,42,15,27,2022-2023,bundesliga
karim bellarabi,1,1,0,66.7,2,0,0,0,0,2022-2023,bundesliga
jude bellingham,28,34,14,66.7,76,42,51,4,47,2022-2023,bundesliga
ramy bensebaini,21,10,3,66.7,34,21,44,14,30,2022-2023,bundesliga
mergim berisha,4,3,4,28.6,11,6,16,1,15,2022-2023,bundesliga
ermin bičakčić,6,1,1,33.3,8,4,4,3,1,2022-2023,bundesliga
tom bischof,8,3,4,70.0,15,10,5,1,4,2022-2023,bundesliga
leonardo bittencourt,20,25,8,40.3,53,28,13,0,13,2022-2023,bundesliga
janis blaswich,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
daley blind,2,0,0,0.0,2,0,4,2,2,2022-2023,bundesliga
kevin-prince boateng,4,2,2,33.3,8,6,11,3,8,2022-2023,bundesliga
jean-paul boëtius,19,9,2,32.0,30,16,25,5,20,2022-2023,bundesliga
yvandro borges sanches,0,2,0,100.0,2,2,0,0,0,2022-2023,bundesliga
sebastiaan bornauw,17,10,2,72.7,29,17,27,12,15,2022-2023,bundesliga
rafael borré,4,13,8,23.5,25,15,10,2,8,2022-2023,bundesliga
julian brandt,6,14,9,27.9,29,20,23,0,23,2022-2023,bundesliga
fabian bredlow,1,0,0,100.0,1,1,0,0,0,2022-2023,bundesliga
josip brekalo,2,0,0,0.0,2,1,0,0,0,2022-2023,bundesliga
john brooks,10,8,0,72.2,18,12,17,12,5,2022-2023,bundesliga
moritz broschinski,0,0,0,0.0,0,0,1,0,1,2022-2023,bundesliga
cédric brunner,26,11,2,66.7,39,27,24,7,17,2022-2023,bundesliga
jacob bruun larsen,0,1,3,75.0,4,3,3,1,2,2022-2023,bundesliga
lee buchanan,2,11,1,50.0,14,10,5,0,5,2022-2023,bundesliga
marius bülter,8,7,7,37.5,22,11,34,1,33,2022-2023,bundesliga
