nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
abner,9,2,1,43.8,12,9,8,2,6,2022-2023,laliga
álvaro aceves,0,0,0,,0,0,0,0,0,2022-2023,laliga
marcos acuña,34,17,6,71.4,57,36,16,5,11,2022-2023,laliga
julen agirrezabala,0,0,0,,0,0,0,0,0,2022-2023,laliga
álvaro aguado,13,11,3,60.0,27,15,16,4,12,2022-2023,laliga
joseph aidoo,33,17,1,57.1,51,36,26,14,12,2022-2023,laliga
sergio akieme,19,6,2,54.5,27,16,22,6,16,2022-2023,laliga
babatunde akinsola,0,0,1,,1,1,0,0,0,2022-2023,laliga
paul akouokou,13,3,0,65.0,16,9,2,2,0,2022-2023,laliga
david alaba,8,4,3,60.0,15,11,18,9,9,2022-2023,laliga
ángel alarcón,0,0,0,0.0,0,0,0,0,0,2022-2023,laliga
tomás alarcón,0,2,1,50.0,3,2,1,0,1,2022-2023,laliga
jordi alba,13,11,1,42.9,25,18,12,5,7,2022-2023,laliga
raúl albiol,17,6,2,77.8,25,17,17,13,4,2022-2023,laliga
rubén alcaraz,24,18,1,35.2,43,31,23,8,15,2022-2023,laliga
omar alderete,21,14,0,70.0,35,20,23,16,7,2022-2023,laliga
iván alejo,19,9,4,45.9,32,21,18,3,15,2022-2023,laliga
carles aleñá,7,5,6,14.7,18,10,19,1,18,2022-2023,laliga
alejandro alfaro,0,0,0,,0,0,0,0,0,2022-2023,laliga
ángel algobia,14,13,0,45.8,27,13,15,5,10,2022-2023,laliga
mohamed ali cho,6,5,2,40.0,13,10,9,0,9,2022-2023,laliga
domingos andré ribeiro almeida,23,32,11,45.6,66,42,26,0,26,2022-2023,laliga
marcos alonso,10,5,0,75.0,15,10,14,10,4,2022-2023,laliga
carlos álvarez,0,1,0,,1,1,0,0,0,2022-2023,laliga
gastón álvarez,24,9,5,54.8,38,30,15,5,10,2022-2023,laliga
yeray álvarez,26,7,1,77.4,34,23,23,13,10,2022-2023,laliga
selim amallah,7,8,0,62.5,15,9,2,0,2,2022-2023,laliga
amath,14,8,7,63.6,29,19,13,1,12,2022-2023,laliga
jordan amavi,3,0,0,33.3,3,2,3,0,3,2022-2023,laliga
marcos andré,1,1,2,50.0,4,1,4,1,3,2022-2023,laliga
fabrizio angileri,8,3,1,58.8,12,9,8,3,5,2022-2023,laliga
josep antoni gayá,0,0,0,,0,0,4,2,2,2022-2023,laliga
josé antonio,0,0,2,,2,1,0,0,0,2022-2023,laliga
anuar,0,1,3,,4,4,5,2,3,2022-2023,laliga
mauro arambarri,9,4,1,17.6,14,6,17,5,12,2022-2023,laliga
ronald araújo,12,13,1,66.7,26,18,15,7,8,2022-2023,laliga
adu ares,2,1,1,100.0,4,2,1,0,1,2022-2023,laliga
sergio arribas,0,0,0,,0,0,1,0,1,2022-2023,laliga
roberto arroyo,0,1,0,100.0,1,1,0,0,0,2022-2023,laliga
ricard artero,2,1,0,100.0,3,3,2,0,2,2022-2023,laliga
santiago arzamendia,7,1,1,28.6,9,8,11,1,10,2022-2023,laliga
sergio asenjo,0,0,0,,0,0,0,0,0,2022-2023,laliga
marco asensio,8,6,2,42.1,16,10,8,3,5,2022-2023,laliga
iago aspas,0,4,4,13.6,8,4,10,1,9,2022-2023,laliga
pierre-emerick aubameyang,0,0,0,,0,0,0,0,0,2022-2023,laliga
ludwig augustinsson,2,0,0,33.3,2,1,1,0,1,2022-2023,laliga
ezequiel ávila,2,4,2,26.1,8,5,12,1,11,2022-2023,laliga
iddrisu baba,15,16,0,46.9,31,17,18,8,10,2022-2023,laliga
srđan babić,20,8,0,46.9,28,18,34,22,12,2022-2023,laliga
loïc bade,23,3,1,56.7,27,20,21,13,8,2022-2023,laliga
édgar badía,1,0,0,50.0,1,0,0,0,0,2022-2023,laliga
alex baena,9,15,6,33.3,30,17,15,3,12,2022-2023,laliga
alejandro balde,22,16,4,58.5,42,30,25,3,22,2022-2023,laliga
mikel balenziaga,1,2,1,100.0,4,4,0,0,0,2022-2023,laliga
iván balliu,26,20,6,60.0,52,29,26,3,23,2022-2023,laliga
léo baptistão,13,16,3,39.4,32,20,17,2,15,2022-2023,laliga
keidi bare,7,5,3,53.8,15,8,8,2,6,2022-2023,laliga
kike barja,6,5,4,33.3,15,9,7,0,7,2022-2023,laliga
ander barrenetxea,15,6,0,42.9,21,15,15,1,14,2022-2023,laliga
pablo barrios,3,10,6,53.3,19,10,12,2,10,2022-2023,laliga
rodrigo battaglia,7,5,0,42.9,12,5,16,7,9,2022-2023,laliga
