nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
nabil aberdin,Getafe,0,0,0,0.0,0,0,0,0,0,0,4,0,2023-2024,laliga
abner,Betis,15,9,1,50.0,25,19,15,23,5,18,62,0,2023-2024,laliga
abdel abqar,Alavés,28,5,2,60.0,35,19,23,31,26,5,115,0,2023-2024,laliga
marcos acuña,Sevilla,20,12,1,64.3,33,21,4,12,2,10,25,0,2023-2024,laliga
julen agirrezabala,Athletic Club,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
lucien agoume,Sevilla,7,14,2,75.0,23,18,7,6,1,5,8,0,2023-2024,laliga
joseph aidoo,Celta Vigo,6,2,0,50.0,8,3,4,3,1,2,28,0,2023-2024,laliga
ilias akhomach,Villarreal,11,16,9,50.0,36,21,13,10,2,8,13,0,2023-2024,laliga
sergio akieme,Almería,18,7,2,81.3,27,15,10,14,4,10,34,0,2023-2024,laliga
paul akouokou,Betis,0,2,3,100.0,5,3,1,3,1,2,1,0,2023-2024,laliga
david alaba,Real Madrid,7,5,1,50.0,13,9,15,10,7,3,34,0,2023-2024,laliga
raúl albiol,Villarreal,15,9,1,66.7,25,14,16,31,24,7,102,0,2023-2024,laliga
rubén alcaraz,Cádiz,39,52,6,41.3,97,59,33,60,14,46,55,2,2023-2024,laliga
omar alderete,Getafe,15,13,0,54.3,28,21,13,30,18,12,111,0,2023-2024,laliga
iván alejo,Cádiz,23,11,6,29.8,40,23,7,20,0,20,17,0,2023-2024,laliga
carles aleñá,Getafe,7,14,3,41.7,24,8,4,14,3,11,13,0,2023-2024,laliga
mohamed ali cho,Real Sociedad,3,1,0,28.6,4,3,1,6,0,6,1,0,2023-2024,laliga
tadeo allende,Celta Vigo,3,2,1,66.7,6,1,3,3,0,3,3,0,2023-2024,laliga
domingos andré ribeiro almeida,Valencia,9,12,4,47.4,25,15,6,13,1,12,5,0,2023-2024,laliga
marcos alonso,Barcelona,2,3,0,75.0,5,3,4,2,0,2,6,0,2023-2024,laliga
adrià altimira,Villarreal,9,6,1,37.5,16,7,5,18,5,13,18,0,2023-2024,laliga
sergi altimira,Betis,8,6,1,47.8,15,8,9,12,1,11,10,0,2023-2024,laliga
gastón álvarez,Getafe,43,20,5,64.9,68,37,35,40,11,29,80,0,2023-2024,laliga
hugo álvarez,Celta Vigo,8,3,3,45.0,14,9,5,4,1,3,9,0,2023-2024,laliga
yeray álvarez,Athletic Club,15,3,0,63.2,18,9,11,8,5,3,34,1,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
selim amallah,Valencia,7,7,3,33.3,17,12,11,13,0,13,6,0,2023-2024,laliga
amath,Mallorca,7,2,0,20.0,9,6,3,2,0,2,6,0,2023-2024,laliga
miguel ángel rubio,Granada,14,6,0,66.7,20,12,28,31,18,13,74,2,2023-2024,laliga
fabrizio angileri,Getafe,1,0,0,33.3,1,1,4,0,0,0,8,0,2023-2024,laliga
mauro arambarri,Getafe,3,2,1,16.7,6,2,2,1,0,1,7,0,2023-2024,laliga
jon aramburu,Real Sociedad,12,10,2,60.0,24,15,7,8,3,5,17,0,2023-2024,laliga
julian araujo,Las Palmas,29,7,5,69.7,41,22,10,23,16,7,52,1,2023-2024,laliga
ronald araújo,Barcelona,11,15,1,70.6,27,22,12,20,11,9,66,2,2023-2024,laliga
adu ares,Athletic Club,4,2,2,66.7,8,4,1,1,0,1,0,0,2023-2024,laliga
jesús areso,Osasuna,25,13,7,81.6,45,24,18,36,15,21,58,0,2023-2024,laliga
matias arezo,Granada,2,5,0,20.0,7,3,1,4,1,3,4,0,2023-2024,laliga
iñigo arguibide,Osasuna,0,1,0,,1,0,0,0,0,0,1,0,2023-2024,laliga
josé arnaiz,Osasuna,6,4,4,28.6,14,8,3,11,2,9,2,0,2023-2024,laliga
sergio arribas,Almería,16,17,1,45.2,34,17,16,20,1,19,8,1,2023-2024,laliga
kepa arrizabalaga,Real Madrid,0,0,0,0.0,0,0,0,0,0,0,4,0,2023-2024,laliga
iago aspas,Celta Vigo,4,6,1,6.7,11,6,10,23,3,20,8,0,2023-2024,laliga
ezequiel ávila,Osasuna,1,1,1,27.3,3,2,4,14,0,14,8,0,2023-2024,laliga
ezequiel ávila,Betis,0,2,0,33.3,2,1,1,2,0,2,4,0,2023-2024,laliga
césar azpilicueta,Atlético Madrid,15,9,1,63.2,25,14,16,25,6,19,46,0,2023-2024,laliga
iddrisu baba,Almería,27,18,1,43.6,46,26,11,20,6,14,27,2,2023-2024,laliga
srđan babić,Almería,0,2,0,100.0,2,2,0,1,1,0,2,0,2023-2024,laliga
loïc bade,Sevilla,53,12,0,61.2,65,41,38,23,15,8,116,2,2023-2024,laliga
alex baena,Villarreal,10,16,8,42.6,34,21,13,23,2,21,17,1,2023-2024,laliga
eric bailly,Villarreal,4,1,0,100.0,5,3,9,8,8,0,38,2,2023-2024,laliga
cédric bakambu,Betis,0,1,0,,1,0,0,2,0,2,0,0,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
alejandro balde,Barcelona,11,6,3,63.6,20,11,5,14,1,13,21,1,2023-2024,laliga
iván balliu,Rayo Vallecano,20,24,0,56.4,44,31,29,27,11,16,66,1,2023-2024,laliga
jonathan bamba,Celta Vigo,4,8,2,11.8,14,9,18,20,0,20,12,0,2023-2024,laliga
léo baptistão,Almería,12,8,5,36.0,25,16,11,13,1,12,22,0,2023-2024,laliga
kike barja,Osasuna,2,2,2,37.5,6,2,2,2,1,1,2,0,2023-2024,laliga
ander barrenetxea,Real Sociedad,7,16,9,38.5,32,21,6,18,1,17,5,0,2023-2024,laliga
pablo barrios,Atlético Madrid,15,29,1,47.5,45,25,28,20,3,17,24,2,2023-2024,laliga
marc bartra,Betis,3,1,0,80.0,4,3,3,3,1,2,10,0,2023-2024,laliga
augusto batalla,Granada,0,0,0,0.0,0,0,0,0,0,0,10,2,2023-2024,laliga
bebé,Rayo Vallecano,1,1,0,20.0,2,2,0,1,0,1,0,0,2023-2024,laliga
sheraldo becker,Real Sociedad,0,2,0,0.0,2,2,1,3,0,3,0,0,2023-2024,laliga
héctor bellerín,Betis,14,16,4,37.7,34,22,22,13,5,8,40,1,2023-2024,laliga
jude bellingham,Real Madrid,14,18,10,33.3,42,34,21,55,5,50,17,0,2023-2024,laliga
fran beltrán,Celta Vigo,22,23,11,38.1,56,32,18,28,2,26,34,0,2023-2024,laliga
carlos benavídez,Alavés,19,26,11,55.9,56,35,19,13,5,8,31,0,2023-2024,laliga
yuri berchiche,Athletic Club,13,14,6,57.6,33,25,20,28,9,19,62,0,2023-2024,laliga
álex berenguer,Athletic Club,9,9,5,29.2,23,14,5,23,0,23,13,0,2023-2024,laliga
antonio blanco,Alavés,29,27,5,36.0,61,36,35,25,2,23,30,0,2023-2024,laliga
daley blind,Girona,33,13,1,61.7,47,21,21,37,19,18,113,0,2023-2024,laliga
adri bosch,Granada,1,0,0,,1,1,0,0,0,0,1,0,2023-2024,laliga
yassine bounou,Sevilla,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
lucas boyé,Granada,14,25,11,41.2,50,25,10,35,5,30,46,0,2023-2024,laliga
darko brašanac,Osasuna,1,0,0,100.0,1,0,0,1,0,1,0,0,2023-2024,laliga
brau,Granada,1,0,0,100.0,1,0,0,0,0,0,2,0,2023-2024,laliga
claudio bravo,Betis,0,0,0,0.0,0,0,0,0,0,0,2,0,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
ben brereton,Villarreal,1,0,1,0.0,2,2,0,0,0,0,0,0,2023-2024,laliga
ante budimir,Osasuna,2,11,8,35.7,21,15,5,19,5,14,18,0,2023-2024,laliga
manu bueno,Sevilla,4,0,0,100.0,4,2,0,3,0,3,1,0,2023-2024,laliga
pablo busto,Betis,0,0,1,100.0,1,1,1,0,0,0,3,0,2023-2024,laliga
josé callejón,Granada,10,3,0,36.4,13,6,5,7,1,6,10,0,2023-2024,laliga
eduardo camavinga,Real Madrid,39,29,8,59.0,76,47,29,36,8,28,29,1,2023-2024,laliga
sergio camello,Rayo Vallecano,3,10,3,40.0,16,5,3,10,2,8,15,0,2023-2024,laliga
josé campaña,Las Palmas,1,1,0,0.0,2,2,2,3,2,1,3,0,2023-2024,laliga
joão cancelo,Barcelona,35,21,8,65.5,64,44,29,35,6,29,59,1,2023-2024,laliga
sergi canós,Valencia,7,11,5,41.7,23,13,11,14,2,12,9,0,2023-2024,laliga
étienne capoue,Villarreal,17,12,3,68.2,32,18,22,20,4,16,24,1,2023-2024,laliga
isaac carcelen,Cádiz,30,15,5,55.6,50,31,27,24,7,17,87,2,2023-2024,laliga
dani cárdenas,Rayo Vallecano,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,laliga
marc cardona,Las Palmas,3,4,2,8.3,9,8,2,5,0,5,7,0,2023-2024,laliga
sergi cardona,Las Palmas,52,29,9,57.3,90,55,46,45,7,38,102,0,2023-2024,laliga
johnny cardoso,Betis,19,24,5,66.7,48,29,32,20,5,15,31,0,2023-2024,laliga
carmona,Getafe,13,14,3,32.1,30,21,21,15,2,13,25,0,2023-2024,laliga
yannick carrasco,Atlético Madrid,3,1,0,28.6,4,4,1,2,0,2,6,0,2023-2024,laliga
álvaro carreras,Granada,8,4,1,45.5,13,8,7,5,1,4,9,1,2023-2024,laliga
dani carvajal,Real Madrid,28,15,4,54.8,47,32,22,28,9,19,54,4,2023-2024,laliga
william carvalho,Betis,11,7,2,62.5,20,12,8,8,1,7,9,1,2023-2024,laliga
marc casado,Barcelona,1,0,0,100.0,1,1,1,0,0,0,2,0,2023-2024,laliga
catena,Osasuna,26,6,1,54.3,33,18,15,24,15,9,119,3,2023-2024,laliga
dani ceballos,Real Madrid,4,5,1,35.7,10,5,0,9,2,7,4,1,2023-2024,laliga
álex centelles,Almería,9,2,0,44.4,11,6,18,5,2,3,29,0,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
franco cervi,Celta Vigo,13,9,2,54.2,24,18,9,16,0,16,4,0,2023-2024,laliga
pep chavarría,Rayo Vallecano,15,6,2,64.7,23,18,6,15,3,12,29,1,2023-2024,laliga
andreas christensen,Barcelona,7,14,2,57.1,23,14,21,23,10,13,41,0,2023-2024,laliga
chumi,Almería,22,12,0,61.5,34,22,14,38,23,15,107,3,2023-2024,laliga
víctor chust,Cádiz,23,5,1,56.3,29,18,11,27,21,6,92,1,2023-2024,laliga
pathé ciss,Rayo Vallecano,16,26,2,55.2,44,24,30,27,10,17,54,0,2023-2024,laliga
