nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
max aarons,1,1,0,100.0,2,2,3,1,2,2024-2025,premier-league
joshua acheampong,2,0,0,100.0,2,1,1,0,1,2024-2025,premier-league
tyler adams,26,49,8,54.2,83,50,33,10,23,2024-2025,premier-league
tosin adarabioyo,11,6,0,66.7,17,13,9,7,2,2024-2025,premier-league
simon adingra,10,8,5,38.5,23,14,12,0,12,2024-2025,premier-league
emmanuel agbadou,21,9,0,65.0,30,19,19,13,6,2024-2025,premier-league
asher agbinone,0,2,0,,2,1,0,0,0,2024-2025,premier-league
ola aina,39,15,1,56.3,55,42,34,12,22,2024-2025,premier-league
rayan aït-nouri,52,28,9,61.4,89,57,42,6,36,2024-2025,premier-league
kristoffer ajer,14,11,1,51.9,26,18,17,4,13,2024-2025,premier-league
manuel akanji,12,4,3,64.7,19,12,11,8,3,2024-2025,premier-league
nathan aké,7,2,0,66.7,9,7,7,2,5,2024-2025,premier-league
carlos alcaraz,0,0,0,,0,0,0,0,0,2024-2025,premier-league
carlos alcaraz,5,3,3,27.3,11,5,9,2,7,2024-2025,premier-league
trent alexander-arnold,44,19,9,46.7,72,50,26,9,17,2024-2025,premier-league
alisson,1,0,0,0.0,1,0,0,0,0,2024-2025,premier-league
miguel almirón,2,0,1,66.7,3,2,2,0,2,2024-2025,premier-league
olabade aluko,0,0,1,100.0,1,1,0,0,0,2024-2025,premier-league
edson álvarez,27,15,8,48.6,50,27,23,8,15,2024-2025,premier-league
will alves,0,0,0,,0,0,0,0,0,2024-2025,premier-league
harry amass,5,1,0,25.0,6,2,11,1,10,2024-2025,premier-league
samuel amo-ameyaw,0,1,0,100.0,1,0,0,0,0,2024-2025,premier-league
mathis amougou,0,0,0,,0,0,0,0,0,2024-2025,premier-league
joachim andersen,1,0,0,50.0,1,1,0,0,0,2024-2025,premier-league
joachim andersen,20,6,1,62.5,27,18,37,28,9,2024-2025,premier-league
elliot anderson,54,29,9,43.2,92,56,48,9,39,2024-2025,premier-league
andré,41,41,9,58.7,91,55,42,8,34,2024-2025,premier-league
michail antonio,0,1,1,66.7,2,2,6,0,6,2024-2025,premier-league
antony,4,2,0,40.0,6,3,2,0,2,2024-2025,premier-league
julian araujo,4,6,0,41.7,10,5,3,0,3,2024-2025,premier-league
cameron archer,8,3,2,22.2,13,8,5,1,4,2024-2025,premier-league
alphonse areola,2,0,0,66.7,2,2,0,0,0,2024-2025,premier-league
joe aribo,17,24,6,48.6,47,33,28,11,17,2024-2025,premier-league
adam armstrong,2,7,3,21.4,12,3,6,1,5,2024-2025,premier-league
harrison armstrong,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
kepa arrizabalaga,1,0,0,0.0,1,0,2,0,2,2024-2025,premier-league
marco asensio,0,7,0,33.3,7,5,7,1,6,2024-2025,premier-league
brandon austin,0,0,0,,0,0,0,0,0,2024-2025,premier-league
taiwo awoniyi,0,3,3,80.0,6,3,1,0,1,2024-2025,premier-league
yasin ayari,15,31,13,46.4,59,32,24,6,18,2024-2025,premier-league
jordan ayew,0,0,1,,1,0,0,0,0,2024-2025,premier-league
jordan ayew,8,14,5,30.4,27,15,21,2,19,2024-2025,premier-league
benoît badiashile,5,4,0,80.0,9,6,2,2,0,2024-2025,premier-league
leon bailey,2,3,2,27.3,7,5,6,0,6,2024-2025,premier-league
carlos baleba,26,37,16,60.0,79,46,47,11,36,2024-2025,premier-league
ross barkley,4,10,0,64.3,14,3,9,3,6,2024-2025,premier-league
harvey barnes,4,6,6,27.3,16,9,8,2,6,2024-2025,premier-league
calvin bassey,35,19,0,71.0,54,34,40,17,23,2024-2025,premier-league
altay bayındır,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
jan bednarek,23,13,0,51.6,36,19,47,36,11,2024-2025,premier-league
armel bella kotchap,5,2,0,50.0,7,5,2,2,0,2024-2025,premier-league
jean-ricner bellegarde,17,19,3,70.0,39,24,19,3,16,2024-2025,premier-league
rodrigo bentancur,19,17,4,47.5,40,22,25,8,17,2024-2025,premier-league
daniel bentley,0,0,0,,0,0,0,0,0,2024-2025,premier-league
sander berge,23,23,4,69.2,50,30,27,8,19,2024-2025,premier-league
lucas bergvall,14,20,5,53.1,39,19,18,8,10,2024-2025,premier-league
victor bernth kristiansen,56,26,5,53.8,87,51,38,15,23,2024-2025,premier-league
beto,2,8,4,62.5,14,6,12,2,10,2024-2025,premier-league
philip billing,7,6,1,75.0,14,5,3,0,3,2024-2025,premier-league
yves bissouma,20,25,4,55.9,49,31,11,6,5,2024-2025,premier-league
oscar bobb,0,0,0,,0,0,0,0,0,2024-2025,premier-league
lamare bogarde,6,6,2,62.5,14,6,5,3,2,2024-2025,premier-league
willy boly,5,1,0,100.0,6,1,4,2,2,2024-2025,premier-league
sven botman,6,5,1,77.8,12,9,5,4,1,2024-2025,premier-league
jarrod bowen,13,12,16,47.5,41,26,22,4,18,2024-2025,premier-league
conor bradley,7,5,2,50.0,14,10,9,2,7,2024-2025,premier-league
jarrad branthwaite,26,10,0,71.4,36,20,31,23,8,2024-2025,premier-league
james bree,8,10,1,40.0,19,14,10,3,7,2024-2025,premier-league
ben brereton,0,2,1,11.1,3,2,2,1,1,2024-2025,premier-league
nathan broadhead,3,6,0,25.0,9,4,8,1,7,2024-2025,premier-league
armando broja,1,1,1,,3,1,3,0,3,2024-2025,premier-league
david brooks,2,8,4,12.5,14,6,18,2,16,2024-2025,premier-league
emi buendía,3,2,1,0.0,6,6,5,1,4,2024-2025,premier-league
santiago bueno,22,18,1,77.3,41,21,36,21,15,2024-2025,premier-league
facundo buonanotte,17,22,14,31.3,53,32,34,6,28,2024-2025,premier-league
cameron burgess,14,3,0,81.8,17,12,20,15,5,2024-2025,premier-league
dan burn,22,15,2,55.6,39,24,36,26,10,2024-2025,premier-league
wes burns,1,9,3,40.0,13,11,7,2,5,2024-2025,premier-league
nathan butler-oyedeji,0,0,0,,0,0,0,0,0,2024-2025,premier-league
moisés caicedo,44,54,16,62.8,114,73,49,10,39,2024-2025,premier-league
tom cairney,5,2,6,57.1,13,5,7,1,6,2024-2025,premier-league
jens cajuste,19,23,2,42.9,44,22,25,10,15,2024-2025,premier-league
riccardo calafiori,15,10,2,62.1,27,19,12,6,6,2024-2025,premier-league
dominic calvert-lewin,1,4,4,33.3,9,7,7,2,5,2024-2025,premier-league
diego carlos,6,1,1,66.7,8,3,13,7,6,2024-2025,premier-league
fabio carvalho,4,4,5,46.2,13,9,6,1,5,2024-2025,premier-league
casemiro,50,23,10,60.8,83,50,39,10,29,2024-2025,premier-league
kaelan casey,0,0,0,,0,0,0,0,0,2024-2025,premier-league
matty cash,29,21,6,72.1,56,32,22,8,14,2024-2025,premier-league
eiran cashin,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
timothy castagne,28,15,3,57.8,46,29,15,6,9,2024-2025,premier-league
trevoh chalobah,7,12,1,52.2,20,16,19,9,10,2024-2025,premier-league
trevoh chalobah,5,6,0,87.5,11,7,6,3,3,2024-2025,premier-league
conor chaplin,6,6,3,42.9,15,5,8,1,7,2024-2025,premier-league
youssef chermiti,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
federico chiesa,0,1,0,0.0,1,0,1,0,1,2024-2025,premier-league
ben chilwell,4,3,0,20.0,7,6,6,2,4,2024-2025,premier-league
chiquinho,0,0,0,,0,0,0,0,0,2024-2025,premier-league
hamza choudhury,1,0,0,33.3,1,1,4,2,2,2024-2025,premier-league
ryan christie,19,27,8,42.2,54,33,44,11,33,2024-2025,premier-league
harry clarke,3,2,0,50.0,5,3,5,4,1,2024-2025,premier-league
jack clarke,11,10,11,50.0,32,20,9,0,9,2024-2025,premier-league
nathaniel clyne,8,3,1,54.5,12,8,4,2,2,2024-2025,premier-league
conor coady,6,6,1,50.0,13,9,32,24,8,2024-2025,premier-league
séamus coleman,2,1,0,75.0,3,2,5,3,2,2024-2025,premier-league
nathan collins,23,12,5,61.1,40,24,77,57,20,2024-2025,premier-league
toby collyer,6,6,0,83.3,12,9,2,1,1,2024-2025,premier-league
levi colwill,25,19,3,66.7,47,34,37,25,12,2024-2025,premier-league
lewis cook,41,36,4,55.2,81,42,30,11,19,2024-2025,premier-league
maxwel cornet,1,4,0,0.0,5,5,0,0,0,2024-2025,premier-league
vladimír coufal,13,7,2,45.5,22,15,13,11,2,2024-2025,premier-league
woyo coulibaly,4,2,0,100.0,6,4,3,1,2,2024-2025,premier-league
aaron cresswell,5,5,1,81.8,11,7,9,4,5,2024-2025,premier-league
marc cucurella,31,31,5,52.5,67,45,49,16,33,2024-2025,premier-league
jorge cuenca,5,1,0,37.5,6,2,4,4,0,2024-2025,premier-league
matheus cunha,17,16,5,33.3,38,22,21,1,20,2024-2025,premier-league
patson daka,6,9,4,38.9,19,10,7,1,6,2024-2025,premier-league
diogo dalot,40,22,6,65.4,68,40,22,9,13,2024-2025,premier-league
mikkel damsgaard,27,29,27,38.3,83,44,40,3,37,2024-2025,premier-league
danilo,7,1,0,50.0,8,4,2,1,1,2024-2025,premier-league
jayden danns,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
kevin danso,4,3,0,54.5,7,5,15,14,1,2024-2025,premier-league
ben davies,8,8,1,52.9,17,11,28,19,9,2024-2025,premier-league
leif davis,33,9,4,62.5,46,27,25,8,17,2024-2025,premier-league
craig dawson,8,6,1,80.0,15,3,16,11,5,2024-2025,premier-league
kevin de bruyne,7,5,5,21.7,17,9,8,0,8,2024-2025,premier-league
bobby de cordova-reid,3,6,0,28.6,9,4,6,1,5,2024-2025,premier-league
liam delap,3,3,5,13.3,11,8,8,0,8,2024-2025,premier-league
sepp van den berg,25,10,4,65.5,39,24,52,38,14,2024-2025,premier-league
justin devenny,7,9,1,42.1,17,12,6,1,5,2024-2025,premier-league
kiernan dewsbury-hall,1,1,6,66.7,8,5,2,0,2,2024-2025,premier-league
amad diallo,9,20,9,59.4,38,31,15,2,13,2024-2025,premier-league
rúben dias,7,9,1,53.8,17,11,23,20,3,2024-2025,premier-league
luis díaz,13,20,6,38.5,39,26,19,0,19,2024-2025,premier-league
tyler dibling,13,18,3,61.5,34,20,19,5,14,2024-2025,premier-league
lucas digne,40,16,9,66.7,65,38,23,4,19,2024-2025,premier-league
issa diop,18,8,0,72.2,26,12,10,7,3,2024-2025,premier-league
axel disasi,7,1,0,42.9,8,5,4,1,3,2024-2025,premier-league
axel disasi,5,1,1,54.5,7,4,4,1,3,2024-2025,premier-league
roman dixon,3,2,0,100.0,5,5,1,0,1,2024-2025,premier-league
nasser djiga,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
matt doherty,25,13,0,68.0,38,21,28,15,13,2024-2025,premier-league
jeremy doku,9,12,10,53.3,31,22,11,1,10,2024-2025,premier-league
nicolás domínguez,40,35,11,47.4,86,45,38,12,26,2024-2025,premier-league
