nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
tammy abraham,0,1,2,,3,1,1,0,1,2023-2024,serie-a
francesco acerbi,16,6,0,78.6,22,13,20,13,7,2023-2024,serie-a
yacine adli,17,13,4,37.1,34,17,22,8,14,2023-2024,serie-a
michel aebischer,9,20,6,44.1,35,20,28,6,22,2023-2024,serie-a
lucien agoume,0,0,0,,0,0,0,0,0,2023-2024,serie-a
marley aké,0,0,0,,0,0,0,0,0,2023-2024,serie-a
ebenezer akinsanmiro,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
jean-daniel akpa-akpro,14,4,2,33.3,20,11,10,4,6,2023-2024,serie-a
david akpan ankeye,0,1,0,0.0,1,0,1,0,1,2023-2024,serie-a
luis alberto,16,12,7,28.3,35,20,34,4,30,2023-2024,serie-a
carlos alcaraz,0,6,0,50.0,6,6,5,2,3,2023-2024,serie-a
pontus almqvist,16,22,7,45.1,45,29,21,2,19,2023-2024,serie-a
lorenzo amatucci,0,0,0,,0,0,0,0,0,2023-2024,serie-a
bruno amione,9,2,0,80.0,11,3,4,2,2,2023-2024,serie-a
felipe anderson,32,33,13,37.8,78,45,45,3,42,2023-2024,serie-a
angeliño,12,6,3,57.9,21,11,11,5,6,2023-2024,serie-a
houssem aouar,4,10,2,25.0,16,11,5,0,5,2023-2024,serie-a
simone aresti,0,0,0,,0,0,0,0,0,2023-2024,serie-a
marko arnautović,3,5,2,57.1,10,4,8,1,7,2023-2024,serie-a
kristjan asllani,3,4,0,18.2,7,2,9,3,6,2023-2024,serie-a
emil audero,0,0,0,,0,0,0,0,0,2023-2024,serie-a
tommaso augello,18,6,2,64.0,26,19,21,10,11,2023-2024,serie-a
carlos augusto,20,9,0,68.2,29,21,20,8,12,2023-2024,serie-a
yann aurel bisseck,10,3,1,66.7,14,6,10,7,3,2023-2024,serie-a
sardar azmoun,2,5,1,50.0,8,5,4,1,3,2023-2024,serie-a
paulo azzi,10,6,3,50.0,19,11,11,2,9,2023-2024,serie-a
oussama el azzouzi,4,5,3,50.0,12,7,8,2,6,2023-2024,serie-a
milan badelj,23,24,4,39.3,51,27,45,13,32,2023-2024,serie-a
jaime báez,0,2,2,0.0,4,1,5,0,5,2023-2024,serie-a
nicola bagnolini,0,0,0,,0,0,0,0,0,2023-2024,serie-a
nedim bajrami,6,3,4,38.5,13,6,5,1,4,2023-2024,serie-a
mitchel bakker,6,1,0,16.7,7,3,5,0,5,2023-2024,serie-a
tommaso baldanzi,1,1,2,30.0,4,2,7,0,7,2023-2024,serie-a
tommaso baldanzi,3,4,2,100.0,9,5,2,0,2,2023-2024,serie-a
lameck banda,11,12,4,33.3,27,23,18,0,18,2023-2024,serie-a
daniel bandeira,1,4,1,42.9,6,5,3,0,3,2023-2024,serie-a
mattia bani,18,7,1,50.0,26,10,51,31,20,2023-2024,serie-a
antonín barák,1,3,2,42.9,6,2,5,0,5,2023-2024,serie-a
nicolò barella,17,20,9,30.2,46,30,31,1,30,2023-2024,serie-a
enzo barrenechea,28,29,8,40.0,65,42,47,12,35,2023-2024,serie-a
davide bartesaghi,1,1,0,50.0,2,0,1,1,0,2023-2024,serie-a
federico baschirotto,16,5,0,53.3,21,12,42,26,16,2023-2024,serie-a
toma bašić,10,9,1,37.0,20,13,18,6,12,2023-2024,serie-a
alessandro bastoni,31,12,3,65.0,46,33,25,11,14,2023-2024,serie-a
simone bastoni,12,7,3,50.0,22,13,8,0,8,2023-2024,serie-a
reda belahyane,0,1,0,100.0,1,1,0,0,0,2023-2024,serie-a
raoul bellanova,15,17,4,58.1,36,26,21,4,17,2023-2024,serie-a
andrea belotti,1,5,2,41.7,8,3,8,1,7,2023-2024,serie-a
andrea belotti,2,3,3,50.0,8,4,7,0,7,2023-2024,serie-a
lucas beltrán,4,18,5,55.0,27,14,29,3,26,2023-2024,serie-a
ismaël bennacer,11,16,2,50.0,29,19,12,4,8,2023-2024,serie-a
domenico berardi,7,9,1,9.5,17,8,17,0,17,2023-2024,serie-a
bartosz bereszyński,25,13,3,60.0,41,25,22,10,12,2023-2024,serie-a
etrit berisha,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
medon berisha,3,0,0,0.0,3,1,2,2,0,2023-2024,serie-a
victor bernth kristiansen,23,22,7,57.1,52,34,35,8,27,2023-2024,serie-a
beto,0,0,1,,1,0,0,0,0,2023-2024,serie-a
davide bettella,0,0,0,,0,0,0,0,0,2023-2024,serie-a
sam beukema,14,11,2,64.0,27,11,35,21,14,2023-2024,serie-a
jaka bijol,34,9,0,62.9,43,27,36,21,15,2023-2024,serie-a
el bilal touré,0,1,0,0.0,1,1,0,0,0,2023-2024,serie-a
cristiano biraghi,20,24,3,53.8,47,28,30,5,25,2023-2024,serie-a
davide biraschi,1,2,0,33.3,3,3,0,0,0,2023-2024,serie-a
samuele birindelli,16,7,5,56.0,28,19,30,11,19,2023-2024,serie-a
alexis blin,11,19,3,34.9,33,19,16,2,14,2023-2024,serie-a
jérôme boateng,0,0,0,,0,0,6,5,1,2023-2024,serie-a
emil bohinen,0,1,0,,1,1,1,0,1,2023-2024,serie-a
emil bohinen,5,3,0,20.0,8,6,8,2,6,2023-2024,serie-a
daniel boloca,18,25,5,58.7,48,33,23,13,10,2023-2024,serie-a
giacomo bonaventura,6,10,10,42.9,26,13,16,1,15,2023-2024,serie-a
federico bonazzoli,1,3,0,12.5,4,1,9,1,8,2023-2024,serie-a
warren bondo,16,10,3,76.5,29,22,13,3,10,2023-2024,serie-a
giovanni bonfanti,2,2,0,66.7,4,2,1,1,0,2023-2024,serie-a
kevin bonifazi,0,4,0,50.0,4,0,0,0,0,2023-2024,serie-a
kevin bonifazi,2,3,0,66.7,5,3,1,0,1,2023-2024,serie-a
gennaro borrelli,0,0,0,,0,0,0,0,0,2023-2024,serie-a
erik botheim,2,0,0,0.0,2,0,3,0,3,2023-2024,serie-a
mehdi bourabia,1,4,0,50.0,5,4,3,0,3,2023-2024,serie-a
edoardo bove,16,31,13,58.7,60,31,21,1,20,2023-2024,serie-a
domagoj bradarić,13,10,6,60.0,29,20,22,7,15,2023-2024,serie-a
josip brekalo,6,2,0,18.2,8,6,7,0,7,2023-2024,serie-a
gleison bremer,32,21,5,72.4,58,42,45,27,18,2023-2024,serie-a
brenner,1,5,2,57.1,8,7,2,0,2,2023-2024,serie-a
marco brescianini,13,12,3,36.0,28,13,22,5,17,2023-2024,serie-a
dylan bronn,0,0,0,0.0,0,0,2,0,2,2023-2024,serie-a
tajon buchanan,0,0,1,50.0,1,1,1,0,1,2023-2024,serie-a
alessandro buongiorno,43,24,3,70.6,70,39,20,12,8,2023-2024,serie-a
rareș-cătălin burnete,0,0,0,,0,0,0,0,0,2023-2024,serie-a
jovane cabral,4,7,2,33.3,13,9,3,0,3,2023-2024,serie-a
