nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
james abankwah,Udinese,4,0,0,66.7,4,2,1,2,1,1,3,0,2024-2025,serie-a
saud abdulhamid,Roma,2,0,1,100.0,3,2,2,2,0,2,0,0,2024-2025,serie-a
oliver abildgaard,Como,0,0,0,,0,0,0,1,0,1,0,0,2024-2025,serie-a
tammy abraham,Roma,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,serie-a
tammy abraham,Milan,2,10,5,75.0,17,11,2,13,0,13,16,0,2024-2025,serie-a
federico accornero,Genoa,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
francesco acerbi,Inter,16,7,0,64.7,23,19,26,22,16,6,81,0,2024-2025,serie-a
che adams,Torino,2,4,6,14.3,12,6,2,13,6,7,18,0,2024-2025,serie-a
yacine adli,Fiorentina,11,16,5,43.6,32,19,6,13,1,12,19,0,2024-2025,serie-a
vasilije adžić,Juventus,0,1,1,0.0,2,2,0,0,0,0,0,0,2024-2025,serie-a
michel aebischer,Bologna,8,7,3,71.4,18,13,7,4,1,3,6,0,2024-2025,serie-a
honest ahanor,Genoa,2,3,2,70.0,7,5,1,4,0,4,9,0,2024-2025,serie-a
junior ajayi,Hellas Verona,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
jean-daniel akpa-akpro,Monza,15,14,1,42.9,30,18,13,19,6,13,16,1,2024-2025,serie-a
david akpan ankeye,Genoa,0,0,0,0.0,0,0,0,0,0,0,1,0,2024-2025,serie-a
faride alidou,Hellas Verona,0,0,0,,0,0,1,1,0,1,3,1,2024-2025,serie-a
dele alli,Como,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
pontus almqvist,Parma,7,7,3,47.1,17,13,19,13,0,13,8,0,2024-2025,serie-a
giorgio altare,Venezia,8,3,2,53.3,13,12,17,21,11,10,49,0,2024-2025,serie-a
sofyan amrabat,Fiorentina,1,2,0,100.0,3,2,0,1,1,0,2,0,2024-2025,serie-a
angeliño,Roma,20,24,2,50.0,46,24,28,33,9,24,98,0,2024-2025,serie-a
lorenzo anghelè,Juventus,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,serie-a
faustino anjorin,Empoli,9,14,6,50.0,29,13,13,18,3,15,20,0,2024-2025,serie-a
marko arnautović,Inter,1,3,3,60.0,7,5,1,3,0,3,1,0,2024-2025,serie-a
kristjan asllani,Inter,8,4,2,36.4,14,3,9,8,1,7,13,1,2024-2025,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2024-2025,serie-a
arthur atta,Udinese,9,10,1,66.7,20,12,7,9,5,4,15,1,2024-2025,serie-a
emil audero,Como,0,0,0,0.0,0,0,0,0,0,0,4,1,2024-2025,serie-a
tommaso augello,Cagliari,28,17,4,69.8,49,28,16,23,8,15,109,2,2024-2025,serie-a
carlos augusto,Inter,12,11,6,63.2,29,14,9,21,9,12,50,0,2024-2025,serie-a
yann aurel bisseck,Inter,11,4,2,68.8,17,11,17,23,12,11,64,1,2024-2025,serie-a
paulo azzi,Cagliari,3,6,2,55.6,11,9,5,5,2,3,11,0,2024-2025,serie-a
oussama el azzouzi,Bologna,0,0,0,,0,0,2,0,0,0,0,0,2024-2025,serie-a
jacopo bacci,Empoli,1,0,0,100.0,1,0,1,0,0,0,1,0,2024-2025,serie-a
milan badelj,Genoa,14,10,5,42.9,29,16,20,19,7,12,43,0,2024-2025,serie-a
mitchel bakker,Atalanta,1,0,0,100.0,1,0,0,0,0,0,0,0,2024-2025,serie-a
tommaso baldanzi,Roma,5,4,3,33.3,12,4,6,4,0,4,8,0,2024-2025,serie-a
keita baldé,Monza,0,1,0,50.0,1,1,2,4,0,4,0,0,2024-2025,serie-a
botond balogh,Parma,22,13,1,71.4,36,16,25,34,26,8,141,2,2024-2025,serie-a
mario balotelli,Genoa,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,serie-a
lameck banda,Lecce,4,2,2,25.0,8,5,2,7,0,7,8,1,2024-2025,serie-a
daniel bandeira,Hellas Verona,1,3,0,50.0,4,0,6,2,1,1,8,0,2024-2025,serie-a
mattia bani,Genoa,11,6,2,63.6,19,10,22,13,8,5,85,2,2024-2025,serie-a
antonín barák,Fiorentina,0,2,0,0.0,2,0,0,1,1,0,0,0,2024-2025,serie-a
federico barba,Como,1,1,0,25.0,2,2,4,2,2,0,15,0,2024-2025,serie-a
nicolò barella,Inter,19,20,11,44.1,50,31,12,26,3,23,16,1,2024-2025,serie-a
davide bartesaghi,Milan,1,1,2,100.0,4,2,3,1,1,0,1,0,2024-2025,serie-a
federico baschirotto,Lecce,30,5,2,78.6,37,25,23,44,32,12,237,2,2024-2025,serie-a
daniele baselli,Como,0,0,0,,0,0,1,0,0,0,1,0,2024-2025,serie-a
alessandro bastoni,Inter,26,14,6,66.7,46,23,21,25,13,12,52,1,2024-2025,serie-a
reda belahyane,Hellas Verona,16,13,7,76.5,36,26,10,20,9,11,22,1,2024-2025,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2024-2025,serie-a
reda belahyane,Lazio,8,0,0,100.0,8,6,1,3,2,1,5,0,2024-2025,serie-a
raoul bellanova,Torino,0,0,0,0.0,0,0,0,0,0,0,4,0,2024-2025,serie-a
raoul bellanova,Atalanta,8,13,3,61.9,24,14,18,12,3,9,45,0,2024-2025,serie-a
andrea belotti,Como,1,4,2,25.0,7,5,1,4,0,4,8,0,2024-2025,serie-a
lucas beltrán,Fiorentina,10,7,6,33.3,23,10,5,15,2,13,14,0,2024-2025,serie-a
adrian benedyczak,Parma,0,0,0,0.0,0,0,0,3,1,2,8,0,2024-2025,serie-a
ismaël bennacer,Milan,1,3,1,14.3,5,4,3,5,3,2,1,0,2024-2025,serie-a
medon berisha,Lecce,7,3,2,50.0,12,8,11,6,0,6,5,2,2024-2025,serie-a
adrian bernabe,Parma,16,9,4,43.8,29,18,7,22,9,13,26,1,2024-2025,serie-a
antoine bernede,Hellas Verona,4,9,2,62.5,15,8,5,6,1,5,3,0,2024-2025,serie-a
sam beukema,Bologna,27,24,3,53.7,54,29,30,36,21,15,111,0,2024-2025,serie-a
alessandro bianco,Monza,26,17,8,65.9,51,28,22,40,14,26,53,4,2024-2025,serie-a
alessandro bianco,Fiorentina,0,0,0,0.0,0,0,0,0,0,0,0,0,2024-2025,serie-a
jaka bijol,Udinese,32,10,1,52.5,43,25,38,38,18,20,182,1,2024-2025,serie-a
philip billing,Napoli,4,4,1,25.0,9,6,4,4,1,3,6,0,2024-2025,serie-a
cristiano biraghi,Torino,9,3,4,61.1,16,10,8,15,4,11,44,0,2024-2025,serie-a
cristiano biraghi,Fiorentina,1,3,0,28.6,4,4,4,2,0,2,11,0,2024-2025,serie-a
samuele birindelli,Monza,13,4,5,42.9,22,15,10,15,2,13,34,2,2024-2025,serie-a
bjarki bjarkason,Venezia,2,1,0,50.0,3,2,2,1,0,1,4,0,2024-2025,serie-a
emil bohinen,Genoa,3,0,1,40.0,4,4,1,2,0,2,6,0,2024-2025,serie-a
warren bondo,Monza,19,12,4,68.4,35,24,5,16,6,10,8,4,2024-2025,serie-a
warren bondo,Milan,4,1,0,100.0,5,3,0,1,0,1,2,0,2024-2025,serie-a
kevin bonifazi,Lecce,1,0,0,100.0,1,1,2,1,1,0,3,0,2024-2025,serie-a
ange-yoan bonny,Parma,4,23,7,57.1,34,16,3,17,2,15,17,0,2024-2025,serie-a
edoardo bove,Fiorentina,7,14,3,50.0,24,17,6,12,0,12,8,0,2024-2025,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2024-2025,serie-a
domagoj bradarić,Hellas Verona,21,11,4,62.1,36,28,15,17,4,13,49,1,2024-2025,serie-a
matthias braunöder,Como,6,3,1,63.6,10,4,2,3,0,3,4,1,2024-2025,serie-a
iker bravo,Udinese,3,5,2,55.6,10,6,1,4,1,3,4,0,2024-2025,serie-a
gleison bremer,Juventus,9,5,1,80.0,15,7,6,15,11,4,16,0,2024-2025,serie-a
brenner,Udinese,2,3,1,37.5,6,4,1,4,0,4,6,0,2024-2025,serie-a
marco brescianini,Atalanta,5,9,4,80.0,18,11,2,15,2,13,6,0,2024-2025,serie-a
arvid brorsson,Monza,2,2,0,40.0,4,3,2,9,8,1,35,1,2024-2025,serie-a
tajon buchanan,Inter,2,0,1,50.0,3,0,0,0,0,0,3,0,2024-2025,serie-a
