nombre,club_actual,altura,valor,temporada,liga
thibaut courtois,Real Madrid,2.0,45000000.0,2022-2023,LaLiga
andriy lunin,Real Madrid,1.91,5000000.0,2022-2023,LaLiga
mario de luis,Atlético Madrileño,1.85,500000.0,2022-2023,LaLiga
luis lópez,SD Eibar,1.97,300000.0,2022-2023,LaLiga
lucas cañizares,SC Farense,1.88,200000.0,2022-2023,LaLiga
diego piñeiro,Without Club,1.85,,2022-2023,LaLiga
fran gonzález,Real Madrid Castilla,1.99,,2022-2023,LaLiga
éder militão,Real Madrid,1.86,70000000.0,2022-2023,LaLiga
david alaba,Real Madrid,1.8,40000000.0,2022-2023,LaLiga
antonio rüdiger,Real Madrid,1.9,32000000.0,2022-2023,LaLiga
nacho fernández,Al-Qadsiah FC,1.8,6000000.0,2022-2023,LaLiga
jesús vallejo,Albacete Balompié,1.84,2000000.0,2022-2023,LaLiga
marvel,Real Madrid Castilla,1.84,1000000.0,2022-2023,LaLiga
ferland mendy,Real Madrid,1.8,25000000.0,2022-2023,LaLiga
daniel carvajal,Real Madrid,1.73,12000000.0,2022-2023,LaLiga
lucas vázquez,Without Club,1.73,8000000.0,2022-2023,LaLiga
álvaro odriozola,Real Sociedad,1.76,5000000.0,2022-2023,LaLiga
vinícius tobias,Shakhtar Donetsk,1.77,3000000.0,2022-2023,LaLiga
aurélien tchouaméni,Real Madrid,1.88,85000000.0,2022-2023,LaLiga
casemiro,Manchester United,1.85,40000000.0,2022-2023,LaLiga
mario martín,Real Madrid,1.77,250000.0,2022-2023,LaLiga
federico valverde,Real Madrid,1.82,100000000.0,2022-2023,LaLiga
eduardo camavinga,Real Madrid,1.82,85000000.0,2022-2023,LaLiga
toni kroos,nan,1.83,15000000.0,2022-2023,LaLiga
dani ceballos,Real Madrid,1.79,12000000.0,2022-2023,LaLiga
luka modrić,AC Milan,1.72,10000000.0,2022-2023,LaLiga
carlos dotor,Málaga CF,1.8,700000.0,2022-2023,LaLiga
marco asensio,Paris Saint-Germain,1.82,25000000.0,2022-2023,LaLiga
sergio arribas,UD Almería,1.74,5000000.0,2022-2023,LaLiga
nico paz,Como 1907,1.86,2000000.0,2022-2023,LaLiga
vinicius junior,Real Madrid,1.76,150000000.0,2022-2023,LaLiga
eden hazard,nan,1.75,5000000.0,2022-2023,LaLiga
rodrygo,Real Madrid,1.74,100000000.0,2022-2023,LaLiga
karim benzema,Al-Ittihad Club,1.85,25000000.0,2022-2023,LaLiga
álvaro rodríguez,Real Madrid,1.93,6000000.0,2022-2023,LaLiga
mariano díaz,Without Club,1.8,2500000.0,2022-2023,LaLiga
marc-andré ter stegen,FC Barcelona,1.87,35000000.0,2022-2023,LaLiga
iñaki peña,FC Barcelona,1.84,4000000.0,2022-2023,LaLiga
arnau tenas,Paris Saint-Germain,1.85,2000000.0,2022-2023,LaLiga
ander astralaga,Granada CF,1.9,,2022-2023,LaLiga
ronald araujo,FC Barcelona,1.92,70000000.0,2022-2023,LaLiga
andreas christensen,FC Barcelona,1.87,40000000.0,2022-2023,LaLiga
eric garcía,FC Barcelona,1.82,10000000.0,2022-2023,LaLiga
chadi riad,Crystal Palace,1.87,500000.0,2022-2023,LaLiga
gerard piqué,nan,1.94,,2022-2023,LaLiga
alejandro balde,FC Barcelona,1.75,50000000.0,2022-2023,LaLiga
marcos alonso,Celta de Vigo,1.88,5000000.0,2022-2023,LaLiga
jordi alba,Inter Miami CF,1.7,5000000.0,2022-2023,LaLiga
álex valle,Como 1907,1.78,500000.0,2022-2023,LaLiga
jules koundé,FC Barcelona,1.8,60000000.0,2022-2023,LaLiga
héctor bellerín,Real Betis Balompié,1.78,8000000.0,2022-2023,LaLiga
sergio busquets,Inter Miami CF,1.89,5000000.0,2022-2023,LaLiga
álvaro sanz,Al-Shahania SC,1.7,700000.0,2022-2023,LaLiga
marc casadó,FC Barcelona,1.72,300000.0,2022-2023,LaLiga
pau prim,Al-Sadd SC,1.79,,2022-2023,LaLiga
pedri,FC Barcelona,1.74,100000000.0,2022-2023,LaLiga
gavi,FC Barcelona,1.73,90000000.0,2022-2023,LaLiga
frenkie de jong,FC Barcelona,1.81,75000000.0,2022-2023,LaLiga
franck kessié,Al-Ahli SFC,1.83,25000000.0,2022-2023,LaLiga
miralem pjanić,Without Club,1.81,6000000.0,2022-2023,LaLiga
sergi roberto,Como 1907,1.78,5000000.0,2022-2023,LaLiga
aleix garrido,SD Eibar,1.7,300000.0,2022-2023,LaLiga
unai hernández,Al-Ittihad Club,1.71,,2022-2023,LaLiga
pablo torre,RCD Mallorca,1.73,3000000.0,2022-2023,LaLiga
raphinha,FC Barcelona,1.76,60000000.0,2022-2023,LaLiga
ansu fati,AS Monaco,1.78,35000000.0,2022-2023,LaLiga
estanis pedrola,UC Sampdoria,1.85,500000.0,2022-2023,LaLiga
ángel alarcón,FC Porto B,1.75,,2022-2023,LaLiga
dani rodríguez,FC Barcelona Atlètic,1.7,,2022-2023,LaLiga
ousmane dembélé,Paris Saint-Germain,1.78,60000000.0,2022-2023,LaLiga
ilias akhomach,Villarreal CF,1.75,3000000.0,2022-2023,LaLiga
lamine yamal,FC Barcelona,1.8,,2022-2023,LaLiga
robert lewandowski,FC Barcelona,1.85,30000000.0,2022-2023,LaLiga
ferran torres,FC Barcelona,1.84,30000000.0,2022-2023,LaLiga
memphis depay,Sport Club Corinthians Paulista,1.78,14000000.0,2022-2023,LaLiga
pierre-emerick aubameyang,Without Club,1.87,4000000.0,2022-2023,LaLiga
marc guiu,Chelsea FC,1.87,,2022-2023,LaLiga
jan oblak,Atlético de Madrid,1.88,35000000.0,2022-2023,LaLiga
ivo grbic,Sheffield United,1.95,3500000.0,2022-2023,LaLiga
alejandro iturbe,Elche CF,1.86,150000.0,2022-2023,LaLiga
antonio gomis,FC Vizela,1.91,150000.0,2022-2023,LaLiga
sergio mestre,Real Madrid Castilla,1.93,,2022-2023,LaLiga
josé maría giménez,Atlético de Madrid,1.85,35000000.0,2022-2023,LaLiga
mario hermoso,AS Roma,1.84,20000000.0,2022-2023,LaLiga
stefan savic,Trabzonspor,1.87,6000000.0,2022-2023,LaLiga
axel witsel,Without Club,1.86,5000000.0,2022-2023,LaLiga
felipe,nan,1.9,2000000.0,2022-2023,LaLiga
marco moreno,SD Eibar,1.91,200000.0,2022-2023,LaLiga
