nombre,club_actual,altura,valor,temporada,liga
ederson,Manchester City,1.88,20000000.0,2024-2025,Premier-League
stefan ortega,Manchester City,1.85,8000000.0,2024-2025,Premier-League
marcus bettinelli,Manchester City,1.93,600000.0,2024-2025,Premier-League
scott carson,Without Club,1.88,100000.0,2024-2025,Premier-League
spike brits,Manchester City U21,,,2024-2025,Premier-League
max hudson,Manchester City U18,1.91,,2024-2025,Premier-League
rúben dias,Manchester City,1.87,65000000.0,2024-2025,Premier-League
abdukodir khusanov,Manchester City,1.86,35000000.0,2024-2025,Premier-League
vitor reis,Manchester City,1.86,30000000.0,2024-2025,Premier-League
manuel akanji,Manchester City,1.88,28000000.0,2024-2025,Premier-League
john stones,Manchester City,1.88,25000000.0,2024-2025,Premier-League
nathan aké,Manchester City,1.8,25000000.0,2024-2025,Premier-League
jahmai simpson-pusey,Manchester City U21,1.87,5000000.0,2024-2025,Premier-League
max alleyne,Manchester City U21,1.85,500000.0,2024-2025,Premier-League
kaden braithwaite,Manchester City U18,,,2024-2025,Premier-League
josko gvardiol,Manchester City,1.85,75000000.0,2024-2025,Premier-League
rayan aït-nouri,Manchester City,1.8,35000000.0,2024-2025,Premier-League
josh wilson-esbrand,Manchester City,1.76,4000000.0,2024-2025,Premier-League
rico lewis,Manchester City,1.7,40000000.0,2024-2025,Premier-League
kyle walker,Burnley FC,1.83,4000000.0,2024-2025,Premier-League
issa kaboré,Manchester City,1.8,4000000.0,2024-2025,Premier-League
rodri,Manchester City,1.91,110000000.0,2024-2025,Premier-League
kalvin phillips,Manchester City,1.79,12000000.0,2024-2025,Premier-League
jacob wright,Norwich City,1.78,800000.0,2024-2025,Premier-League
tijjani reijnders,Manchester City,1.85,60000000.0,2024-2025,Premier-League
nico gonzález,Manchester City,1.88,40000000.0,2024-2025,Premier-League
matheus nunes,Manchester City,1.83,35000000.0,2024-2025,Premier-League
mateo kovacic,Manchester City,1.77,20000000.0,2024-2025,Premier-League
i̇lkay gündoğan,Manchester City,1.8,5000000.0,2024-2025,Premier-League
bernardo silva,Manchester City,1.73,38000000.0,2024-2025,Premier-League
kevin de bruyne,SSC Napoli,1.81,20000000.0,2024-2025,Premier-League
james mcatee,Manchester City,1.8,20000000.0,2024-2025,Premier-League
claudio echeverri,Manchester City,1.7,18000000.0,2024-2025,Premier-League
nico o'reilly,Manchester City,1.93,18000000.0,2024-2025,Premier-League
jérémy doku,Manchester City,1.73,50000000.0,2024-2025,Premier-League
jack grealish,Manchester City,1.8,28000000.0,2024-2025,Premier-League
phil foden,Manchester City,1.71,100000000.0,2024-2025,Premier-League
savinho,Manchester City,1.76,50000000.0,2024-2025,Premier-League
rayan cherki,Manchester City,1.77,45000000.0,2024-2025,Premier-League
oscar bobb,Manchester City,1.75,25000000.0,2024-2025,Premier-League
farid alfa-ruprecht,Manchester City U21,1.81,,2024-2025,Premier-League
erling haaland,Manchester City,1.95,180000000.0,2024-2025,Premier-League
omar marmoush,Manchester City,1.83,75000000.0,2024-2025,Premier-League
divin mubama,Stoke City,1.83,4000000.0,2024-2025,Premier-League
robert sánchez,Chelsea FC,1.97,20000000.0,2024-2025,Premier-League
filip jørgensen,Chelsea FC,1.92,18000000.0,2024-2025,Premier-League
mike penders,Chelsea FC,2.0,12000000.0,2024-2025,Premier-League
gabriel slonina,Chelsea FC,1.93,3500000.0,2024-2025,Premier-League
lucas bergström,RCD Mallorca,2.05,700000.0,2024-2025,Premier-League
marcus bettinelli,Manchester City,1.93,600000.0,2024-2025,Premier-League
max merrick,Chelsea FC U21,,,2024-2025,Premier-League
ted curd,Chelsea FC U21,1.9,,2024-2025,Premier-League
levi colwill,Chelsea FC,1.87,55000000.0,2024-2025,Premier-League
renato veiga,Chelsea FC,1.9,25000000.0,2024-2025,Premier-League
trevoh chalobah,Chelsea FC,1.92,25000000.0,2024-2025,Premier-League
wesley fofana,Chelsea FC,1.85,25000000.0,2024-2025,Premier-League
axel disasi,Chelsea FC,1.91,22000000.0,2024-2025,Premier-League
benoît badiashile,Chelsea FC,1.94,22000000.0,2024-2025,Premier-League
tosin adarabioyo,Chelsea FC,1.97,20000000.0,2024-2025,Premier-League
mamadou sarr,Chelsea FC,1.94,20000000.0,2024-2025,Premier-League
aarón anselmino,Chelsea FC,1.86,8000000.0,2024-2025,Premier-League
harrison murray-campbell,Chelsea FC U21,1.89,500000.0,2024-2025,Premier-League
kaiden wilson,Chelsea FC U21,,,2024-2025,Premier-League
marc cucurella,Chelsea FC,1.73,35000000.0,2024-2025,Premier-League
ben chilwell,Chelsea FC,1.8,15000000.0,2024-2025,Premier-League
ishé samuels-smith,Chelsea FC U21,1.86,700000.0,2024-2025,Premier-League
malo gusto,Chelsea FC,1.78,35000000.0,2024-2025,Premier-League
reece james,Chelsea FC,1.8,30000000.0,2024-2025,Premier-League
josh acheampong,Chelsea FC,1.85,8000000.0,2024-2025,Premier-League
genesis antwi,Chelsea FC U21,,350000.0,2024-2025,Premier-League
richard olise,Chelsea FC U21,1.73,,2024-2025,Premier-League
moisés caicedo,Chelsea FC,1.78,90000000.0,2024-2025,Premier-League
roméo lavia,Chelsea FC,1.81,40000000.0,2024-2025,Premier-League
dário essugo,Chelsea FC,1.78,20000000.0,2024-2025,Premier-League
sam rak-sakyi,Chelsea FC U21,,800000.0,2024-2025,Premier-League
landon emenalo,Chelsea FC U21,1.8,,2024-2025,Premier-League
enzo fernández,Chelsea FC,1.78,75000000.0,2024-2025,Premier-League
andrey santos,Chelsea FC,1.8,35000000.0,2024-2025,Premier-League
kiernan dewsbury-hall,Chelsea FC,1.76,20000000.0,2024-2025,Premier-League
carney chukwuemeka,Chelsea FC,1.88,18000000.0,2024-2025,Premier-League
cesare casadei,Torino FC,1.92,15000000.0,2024-2025,Premier-League
mathis amougou,RC Strasbourg Alsace,1.77,10000000.0,2024-2025,Premier-League
kiano dyer,Chelsea FC U21,1.78,,2024-2025,Premier-League
reggie walsh,Chelsea FC U18,1.76,,2024-2025,Premier-League
cole palmer,Chelsea FC,1.85,120000000.0,2024-2025,Premier-League
harvey vale,Queens Park Rangers,1.81,1500000.0,2024-2025,Premier-League
jadon sancho,Manchester United,1.8,28000000.0,2024-2025,Premier-League
tyrique george,Chelsea FC,1.81,10000000.0,2024-2025,Premier-League
mykhaylo mudryk,Chelsea FC,1.75,,2024-2025,Premier-League
pedro neto,Chelsea FC,1.74,50000000.0,2024-2025,Premier-League
noni madueke,Arsenal FC,1.82,40000000.0,2024-2025,Premier-League
ato ampah,Chelsea FC U21,1.91,,2024-2025,Premier-League
joão félix,Chelsea FC,1.81,20000000.0,2024-2025,Premier-League
joão pedro,Chelsea FC,1.82,50000000.0,2024-2025,Premier-League
nicolas jackson,Chelsea FC,1.87,50000000.0,2024-2025,Premier-League
liam delap,Chelsea FC,1.86,40000000.0,2024-2025,Premier-League
christopher nkunku,Chelsea FC,1.77,35000000.0,2024-2025,Premier-League
deivid washington,Santos FC,1.87,8000000.0,2024-2025,Premier-League
marc guiu,Chelsea FC,1.87,8000000.0,2024-2025,Premier-League
david datro fofana,Chelsea FC,1.82,6000000.0,2024-2025,Premier-League
shumaira mheuka,Chelsea FC U21,1.85,800000.0,2024-2025,Premier-League
