nombre,club_actual,altura,valor,temporada,liga
ederson,Manchester City,1.88,40000000.0,League,Premier
stefan ortega,Manchester City,1.85,9000000.0,League,Premier
zack steffen,Colorado Rapids,1.91,3500000.0,League,Premier
scott carson,Without Club,1.88,200000.0,League,Premier
rúben dias,Manchester City,1.87,80000000.0,League,Premier
nathan aké,Manchester City,1.8,42000000.0,League,Premier
john stones,Manchester City,1.88,40000000.0,League,Premier
manuel akanji,Manchester City,1.88,38000000.0,League,Premier
aymeric laporte,Al-Nassr FC,1.91,25000000.0,League,Premier
luke mbete,Manchester City U21,1.85,2000000.0,League,Premier
josh wilson-esbrand,Manchester City,1.76,1500000.0,League,Premier
benjamin mendy,FC Zürich,1.85,,League,Premier
joão cancelo,Al-Hilal SFC,1.82,50000000.0,League,Premier
rico lewis,Manchester City,1.7,20000000.0,League,Premier
kyle walker,Burnley FC,1.83,13000000.0,League,Premier
rodri,Manchester City,1.91,90000000.0,League,Premier
kalvin phillips,Manchester City,1.79,32000000.0,League,Premier
máximo perrone,Como 1907,1.77,10000000.0,League,Premier
claudio gomes,Palermo FC,1.71,1400000.0,League,Premier
shea charles,Southampton FC,1.89,,League,Premier
i̇lkay gündoğan,Manchester City,1.8,20000000.0,League,Premier
alex robertson,Cardiff City,1.82,50000.0,League,Premier
bernardo silva,Manchester City,1.73,80000000.0,League,Premier
kevin de bruyne,SSC Napoli,1.81,70000000.0,League,Premier
cole palmer,Chelsea FC,1.85,15000000.0,League,Premier
nico o'reilly,Manchester City,1.93,,League,Premier
jack grealish,Manchester City,1.8,75000000.0,League,Premier
sergio gómez,Real Sociedad,1.71,13000000.0,League,Premier
phil foden,Manchester City,1.71,110000000.0,League,Premier
riyad mahrez,Al-Ahli SFC,1.79,20000000.0,League,Premier
ben knight,Cambridge United,1.7,300000.0,League,Premier
erling haaland,Manchester City,1.95,180000000.0,League,Premier
julián alvarez,Atlético de Madrid,1.7,60000000.0,League,Premier
liam delap,Chelsea FC,1.86,5000000.0,League,Premier
aaron ramsdale,Southampton FC,1.9,40000000.0,League,Premier
matt turner,Nottingham Forest,1.91,8000000.0,League,Premier
karl hein,Arsenal FC,1.93,1500000.0,League,Premier
james hillson,Enfield Town,1.87,,League,Premier
william saliba,Arsenal FC,1.92,65000000.0,League,Premier
gabriel magalhães,Arsenal FC,1.9,55000000.0,League,Premier
jakub kiwior,Arsenal FC,1.89,25000000.0,League,Premier
auston trusty,Celtic FC,1.9,10000000.0,League,Premier
rob holding,Crystal Palace,1.89,8000000.0,League,Premier
oleksandr zinchenko,Arsenal FC,1.75,42000000.0,League,Premier
kieran tierney,Celtic FC,1.8,25000000.0,League,Premier
lino sousa,Aston Villa U21,1.85,500000.0,League,Premier
ben white,Arsenal FC,1.86,55000000.0,League,Premier
takehiro tomiyasu,Without Club,1.88,25000000.0,League,Premier
ainsley maitland-niles,Olympique Lyon,1.8,8000000.0,League,Premier
cédric soares,São Paulo Futebol Clube,1.71,3000000.0,League,Premier
reuell walters,Luton Town,1.86,,League,Premier
thomas partey,Without Club,1.85,35000000.0,League,Premier
jorginho,CR Flamengo,1.8,25000000.0,League,Premier
granit xhaka,Bayer 04 Leverkusen,1.86,20000000.0,League,Premier
mohamed elneny,Al-Jazira Club,1.79,6000000.0,League,Premier
bradley ibrahim,Plymouth Argyle,1.85,400000.0,League,Premier
albert sambi lokonga,Arsenal FC,1.83,15000000.0,League,Premier
matt smith,Wigan Athletic,1.76,350000.0,League,Premier
cătălin cîrjan,FC Dinamo 1948,1.74,250000.0,League,Premier
mauro bandeira,Without Club,1.78,,League,Premier
martin ødegaard,Arsenal FC,1.78,90000000.0,League,Premier
emile smith rowe,Fulham FC,1.82,35000000.0,League,Premier
fábio vieira,Arsenal FC,1.7,25000000.0,League,Premier
gabriel martinelli,Arsenal FC,1.78,80000000.0,League,Premier
leandro trossard,Arsenal FC,1.72,35000000.0,League,Premier
charles sagoe jr,Arsenal FC U21,,,League,Premier
bukayo saka,Arsenal FC,1.78,120000000.0,League,Premier
nicolas pépé,Villarreal CF,1.83,18000000.0,League,Premier
marquinhos,Cruzeiro Esporte Clube,1.75,12000000.0,League,Premier
reiss nelson,Arsenal FC,1.75,12000000.0,League,Premier
amario cozier-duberry,Bolton Wanderers,1.7,300000.0,League,Premier
ethan nwaneri,Arsenal FC,1.76,,League,Premier
gabriel jesus,Arsenal FC,1.75,75000000.0,League,Premier
eddie nketiah,Crystal Palace,1.75,25000000.0,League,Premier
khayon edwards,GD Estoril Praia,1.8,300000.0,League,Premier
nathan butler-oyedeji,FC Lausanne-Sport,1.77,100000.0,League,Premier
kepa arrizabalaga,Arsenal FC,1.88,18000000.0,League,Premier
edouard mendy,Al-Ahli SFC,1.94,12000000.0,League,Premier
gabriel slonina,Chelsea FC,1.93,9000000.0,League,Premier
marcus bettinelli,Manchester City,1.93,1500000.0,League,Premier
lucas bergström,RCD Mallorca,2.05,250000.0,League,Premier
ethan wady,Without Club,,,League,Premier
wesley fofana,Chelsea FC,1.85,55000000.0,League,Premier
benoît badiashile,Chelsea FC,1.94,40000000.0,League,Premier
trevoh chalobah,Chelsea FC,1.92,18000000.0,League,Premier
kalidou koulibaly,Al-Hilal SFC,1.86,15000000.0,League,Premier
ethan ampadu,Leeds United,1.82,9000000.0,League,Premier
césar azpilicueta,Without Club,1.78,5000000.0,League,Premier
thiago silva,Fluminense Football Club,1.81,2000000.0,League,Premier
ben chilwell,Chelsea FC,1.8,35000000.0,League,Premier
marc cucurella,Chelsea FC,1.73,35000000.0,League,Premier
lewis hall,Newcastle United,1.79,10000000.0,League,Premier
bashir humphreys,Burnley FC,1.86,3000000.0,League,Premier
abdul rahman baba,PAOK Thessaloniki,1.79,1200000.0,League,Premier
reece james,Chelsea FC,1.8,65000000.0,League,Premier
alfie gilchrist,Chelsea FC,1.83,,League,Premier
jorginho,CR Flamengo,1.8,25000000.0,League,Premier
denis zakaria,AS Monaco,1.9,18000000.0,League,Premier
n'golo kanté,Al-Ittihad Club,1.68,15000000.0,League,Premier
billy gilmour,SSC Napoli,1.7,12000000.0,League,Premier
enzo fernández,Chelsea FC,1.78,80000000.0,League,Premier
mateo kovacic,Manchester City,1.77,38000000.0,League,Premier
conor gallagher,Atlético de Madrid,1.82,32000000.0,League,Premier
ruben loftus-cheek,AC Milan,1.91,25000000.0,League,Premier
carney chukwuemeka,Chelsea FC,1.88,15000000.0,League,Premier
mason mount,Manchester United,1.81,60000000.0,League,Premier
harvey vale,Queens Park Rangers,1.81,2000000.0,League,Premier
omari hutchinson,Ipswich Town,1.74,1000000.0,League,Premier
mykhaylo mudryk,Chelsea FC,1.75,50000000.0,League,Premier
callum hudson-odoi,Nottingham Forest,1.78,15000000.0,League,Premier
raheem sterling,Chelsea FC,1.7,55000000.0,League,Premier
noni madueke,Arsenal FC,1.82,30000000.0,League,Premier
christian pulisic,AC Milan,1.77,25000000.0,League,Premier
hakim ziyech,Without Club,1.8,16000000.0,League,Premier
joão félix,Chelsea FC,1.81,50000000.0,League,Premier
kai havertz,Arsenal FC,1.93,55000000.0,League,Premier
armando broja,Chelsea FC,1.91,28000000.0,League,Premier
david datro fofana,Chelsea FC,1.82,10000000.0,League,Premier
pierre-emerick aubameyang,Without Club,1.87,4000000.0,League,Premier
dean henderson,Crystal Palace,1.88,18000000.0,League,Premier
david de gea,ACF Fiorentina,1.92,13000000.0,League,Premier
matej kovar,PSV Eindhoven,1.96,1800000.0,League,Premier
martin dúbravka,Newcastle United,1.91,1500000.0,League,Premier
jack butland,Rangers FC,1.96,1500000.0,League,Premier
tom heaton,Manchester United,1.88,500000.0,League,Premier
nathan bishop,AFC Wimbledon,1.85,300000.0,League,Premier
radek vítek,Manchester United U21,1.98,150000.0,League,Premier
lisandro martínez,Manchester United,1.75,50000000.0,League,Premier
raphaël varane,nan,1.91,35000000.0,League,Premier
harry maguire,Manchester United,1.94,20000000.0,League,Premier
victor lindelöf,Without Club,1.87,18000000.0,League,Premier
teden mengi,Luton Town,1.86,2000000.0,League,Premier
phil jones,nan,1.85,1500000.0,League,Premier
rhys bennett,Manchester United U21,1.87,,League,Premier
tyler fredricson,Manchester United,,,League,Premier
luke shaw,Manchester United,1.78,42000000.0,League,Premier
tyrell malacia,Manchester United,1.69,22000000.0,League,Premier
brandon williams,Without Club,1.8,7000000.0,League,Premier
álvaro carreras,Real Madrid,1.86,7000000.0,League,Premier
diogo dalot,Manchester United,1.83,40000000.0,League,Premier
aaron wan-bissaka,West Ham United,1.83,25000000.0,League,Premier
axel tuanzebe,Burnley FC,1.85,4500000.0,League,Premier
marc jurado,RCD Espanyol B,1.78,,League,Premier
casemiro,Manchester United,1.85,40000000.0,League,Premier
james garner,Everton FC,1.82,14000000.0,League,Premier
scott mctominay,SSC Napoli,1.91,25000000.0,League,Premier
christian eriksen,Without Club,1.82,22000000.0,League,Premier
marcel sabitzer,Borussia Dortmund,1.78,20000000.0,League,Premier
fred,Fenerbahce,1.69,20000000.0,League,Premier
donny van de beek,Girona FC,1.84,13000000.0,League,Premier
zidane iqbal,FC Utrecht,1.81,1000000.0,League,Premier
kobbie mainoo,Manchester United,1.8,800000.0,League,Premier
bruno fernandes,Manchester United,1.79,75000000.0,League,Premier
alejandro garnacho,Manchester United,1.8,25000000.0,League,Premier
hannibal,Burnley FC,1.83,8000000.0,League,Premier
marcus rashford,Manchester United,1.85,80000000.0,League,Premier
jadon sancho,Manchester United,1.8,45000000.0,League,Premier
shola shoretire,PAOK Thessaloniki,1.71,4000000.0,League,Premier
antony,Manchester United,1.72,60000000.0,League,Premier
amad diallo,Manchester United,1.73,18000000.0,League,Premier
anthony elanga,Newcastle United,1.78,18000000.0,League,Premier
facundo pellistri,Panathinaikos FC,1.75,6000000.0,League,Premier
mason greenwood,Olympique Marseille,1.81,,League,Premier
cristiano ronaldo,Al-Nassr FC,1.88,15000000.0,League,Premier
anthony martial,AEK Athens,1.81,15000000.0,League,Premier
wout weghorst,Ajax Amsterdam,1.97,12000000.0,League,Premier
charlie mcneill,Sheffield Wednesday,1.81,200000.0,League,Premier
alisson,Liverpool FC,1.93,35000000.0,League,Premier
caoimhín kelleher,Brentford FC,1.88,12000000.0,League,Premier
adrián,Real Betis Balompié,1.9,800000.0,League,Premier
harvey davies,Crawley Town,1.9,300000.0,League,Premier
ibrahima konaté,Liverpool FC,1.94,38000000.0,League,Premier
virgil van dijk,Liverpool FC,1.95,35000000.0,League,Premier
joe gomez,Liverpool FC,1.88,22000000.0,League,Premier
joel matip,nan,1.95,12000000.0,League,Premier
sepp van den berg,Brentford FC,1.92,5000000.0,League,Premier
nat phillips,West Bromwich Albion,1.9,4000000.0,League,Premier
rhys williams,Liverpool FC,1.95,2000000.0,League,Premier
jarell quansah,Bayer 04 Leverkusen,1.9,400000.0,League,Premier
luke chambers,Liverpool FC U21,1.81,300000.0,League,Premier
andrew robertson,Liverpool FC,1.78,40000000.0,League,Premier
konstantinos tsimikas,Liverpool FC,1.79,18000000.0,League,Premier
trent alexander-arnold,Real Madrid,1.8,65000000.0,League,Premier
calvin ramsay,Liverpool FC,1.77,5000000.0,League,Premier
fabinho,Al-Ittihad Club,1.88,42000000.0,League,Premier
arthur melo,Juventus FC,1.72,15000000.0,League,Premier
stefan bajcetic,Liverpool FC,1.85,13000000.0,League,Premier
jordan henderson,Brentford FC,1.82,10000000.0,League,Premier
curtis jones,Liverpool FC,1.85,22000000.0,League,Premier
thiago alcántara,nan,1.74,15000000.0,League,Premier
naby keïta,Ferencvárosi TC,1.72,12000000.0,League,Premier
alex oxlade-chamberlain,Besiktas JK,1.8,7000000.0,League,Premier
james milner,Brighton & Hove Albion,1.75,1500000.0,League,Premier
bobby clark,Red Bull Salzburg,1.78,350000.0,League,Premier
jake cain,Without Club,1.76,200000.0,League,Premier
harvey elliott,Liverpool FC,1.7,35000000.0,League,Premier
fábio carvalho,Brentford FC,1.7,16000000.0,League,Premier
luis díaz,Liverpool FC,1.8,75000000.0,League,Premier
cody gakpo,Liverpool FC,1.93,55000000.0,League,Premier
mohamed salah,Liverpool FC,1.75,65000000.0,League,Premier
ben doak,Liverpool FC,1.73,,League,Premier
melkamu frauendorf,Stuttgarter Kickers,1.8,,League,Premier
darwin núñez,Liverpool FC,1.87,65000000.0,League,Premier
diogo jota,---,1.78,50000000.0,League,Premier
roberto firmino,Al-Ahli SFC,1.81,18000000.0,League,Premier
