nombre,club_actual,altura,valor,temporada,liga
yann sommer,Inter Milan,1.83,5000000.0,2023-2024,Serie-A
emil audero,Como 1907,1.92,5000000.0,2023-2024,Serie-A
raffaele di gennaro,Inter Milan,1.88,300000.0,2023-2024,Serie-A
alessandro calligaris,Inter U23,,150000.0,2023-2024,Serie-A
alessandro bastoni,Inter Milan,1.9,70000000.0,2023-2024,Serie-A
benjamin pavard,Inter Milan,1.86,50000000.0,2023-2024,Serie-A
yann bisseck,Inter Milan,1.96,16000000.0,2023-2024,Serie-A
stefan de vrij,Inter Milan,1.89,7000000.0,2023-2024,Serie-A
francesco acerbi,Inter Milan,1.92,3500000.0,2023-2024,Serie-A
giacomo stabile,Inter U23,1.87,50000.0,2023-2024,Serie-A
federico dimarco,Inter Milan,1.75,50000000.0,2023-2024,Serie-A
carlos augusto,Inter Milan,1.84,22000000.0,2023-2024,Serie-A
matteo motta,Inter U23,,100000.0,2023-2024,Serie-A
denzel dumfries,Inter Milan,1.88,24000000.0,2023-2024,Serie-A
matteo darmian,Inter Milan,1.83,4000000.0,2023-2024,Serie-A
tommaso guercio,Slask Wroclaw,1.86,300000.0,2023-2024,Serie-A
hakan çalhanoğlu,Inter Milan,1.78,45000000.0,2023-2024,Serie-A
kristjan asllani,Inter Milan,1.79,18000000.0,2023-2024,Serie-A
lucien agoumé,Sevilla FC,1.85,6000000.0,2023-2024,Serie-A
aleksandar stanković,Inter Milan,1.85,1000000.0,2023-2024,Serie-A
nicolò barella,Inter Milan,1.75,80000000.0,2023-2024,Serie-A
davide frattesi,Inter Milan,1.78,35000000.0,2023-2024,Serie-A
henrikh mkhitaryan,Inter Milan,1.77,6000000.0,2023-2024,Serie-A
davy klaassen,Ajax Amsterdam,1.79,4000000.0,2023-2024,Serie-A
stefano sensi,Without Club,1.68,3000000.0,2023-2024,Serie-A
ebenezer akinsanmiro,Pisa Sporting Club,1.84,1800000.0,2023-2024,Serie-A
tajon buchanan,Inter Milan,1.83,8000000.0,2023-2024,Serie-A
juan cuadrado,Without Club,1.76,1000000.0,2023-2024,Serie-A
