nombre,club_actual,altura,valor,temporada,liga
yann sommer,Inter Milan,1.83,5000000.0,A,Serie
emil audero,Como 1907,1.92,5000000.0,A,Serie
raffaele di gennaro,Inter Milan,1.88,300000.0,A,Serie
alessandro calligaris,Inter U23,,150000.0,A,Serie
alessandro bastoni,Inter Milan,1.9,70000000.0,A,Serie
benjamin pavard,Inter Milan,1.86,50000000.0,A,Serie
yann bisseck,Inter Milan,1.96,16000000.0,A,Serie
stefan de vrij,Inter Milan,1.89,7000000.0,A,Serie
francesco acerbi,Inter Milan,1.92,3500000.0,A,Serie
giacomo stabile,Inter U23,1.87,50000.0,A,Serie
federico dimarco,Inter Milan,1.75,50000000.0,A,Serie
carlos augusto,Inter Milan,1.84,22000000.0,A,Serie
matteo motta,Inter U23,,100000.0,A,Serie
denzel dumfries,Inter Milan,1.88,24000000.0,A,Serie
matteo darmian,Inter Milan,1.83,4000000.0,A,Serie
tommaso guercio,Slask Wroclaw,1.86,300000.0,A,Serie
hakan çalhanoğlu,Inter Milan,1.78,45000000.0,A,Serie
kristjan asllani,Inter Milan,1.79,18000000.0,A,Serie
lucien agoumé,Sevilla FC,1.85,6000000.0,A,Serie
aleksandar stanković,Inter Milan,1.85,1000000.0,A,Serie
nicolò barella,Inter Milan,1.75,80000000.0,A,Serie
davide frattesi,Inter Milan,1.78,35000000.0,A,Serie
henrikh mkhitaryan,Inter Milan,1.77,6000000.0,A,Serie
davy klaassen,Ajax Amsterdam,1.79,4000000.0,A,Serie
stefano sensi,Without Club,1.68,3000000.0,A,Serie
ebenezer akinsanmiro,Inter Milan,1.84,1800000.0,A,Serie
tajon buchanan,Inter Milan,1.83,8000000.0,A,Serie
juan cuadrado,Without Club,1.76,1000000.0,A,Serie
issiaka kamate,Inter U23,1.86,1000000.0,A,Serie
joaquín correa,Botafogo de Futebol e Regatas,1.88,6000000.0,A,Serie
lautaro martínez,Inter Milan,1.74,110000000.0,A,Serie
marcus thuram,Inter Milan,1.92,65000000.0,A,Serie
marko arnautovic,Without Club,1.9,4000000.0,A,Serie
alexis sánchez,Udinese Calcio,1.69,2500000.0,A,Serie
amadou sarr,Inter U23,1.9,150000.0,A,Serie
mike maignan,AC Milan,1.91,38000000.0,A,Serie
marco sportiello,Atalanta BC,1.92,1500000.0,A,Serie
noah raveyre,Milan Futuro,,200000.0,A,Serie
lapo nava,US Cremonese,1.97,150000.0,A,Serie
antonio mirante,nan,1.93,100000.0,A,Serie
andrea bartoccioni,AC Renate,1.96,50000.0,A,Serie
lorenzo torriani,AC Milan,1.97,10000.0,A,Serie
fikayo tomori,AC Milan,1.85,40000000.0,A,Serie
malick thiaw,AC Milan,1.94,25000000.0,A,Serie
pierre kalulu,Juventus FC,1.82,20000000.0,A,Serie
matteo gabbia,AC Milan,1.85,8000000.0,A,Serie
jan-carlo simić,RSC Anderlecht,1.86,5000000.0,A,Serie
marco pellegrino,CA Boca Juniors,1.84,3500000.0,A,Serie
simon kjaer,nan,1.91,1500000.0,A,Serie
mattia caldara,Without Club,1.87,800000.0,A,Serie
clinton nsiala,Rangers FC,1.89,200000.0,A,Serie
theo hernández,Al-Hilal SFC,1.84,60000000.0,A,Serie
davide bartesaghi,AC Milan,1.93,1000000.0,A,Serie
davide calabria,Without Club,1.76,13000000.0,A,Serie
filippo terracciano,AC Milan,1.86,4500000.0,A,Serie
álex jiménez,AC Milan,1.77,4000000.0,A,Serie
alessandro florenzi,Without Club,1.73,2000000.0,A,Serie
ismaël bennacer,AC Milan,1.75,30000000.0,A,Serie
yacine adli,AC Milan,1.86,15000000.0,A,Serie
rade krunic,Red Star Belgrade,1.84,6000000.0,A,Serie
tijjani reijnders,Manchester City,1.85,30000000.0,A,Serie
ruben loftus-cheek,AC Milan,1.91,25000000.0,A,Serie
yunus musah,AC Milan,1.78,22000000.0,A,Serie
tommaso pobega,AC Milan,1.88,10000000.0,A,Serie
kevin zeroli,AC Monza,1.87,2000000.0,A,Serie
victor eletu,Without Club,1.76,400000.0,A,Serie
rafael leão,AC Milan,1.88,90000000.0,A,Serie
noah okafor,AC Milan,1.85,20000000.0,A,Serie
chaka traorè,Milan Futuro,1.75,1500000.0,A,Serie
diego sia,Milan Futuro,,,A,Serie
christian pulisic,AC Milan,1.77,40000000.0,A,Serie
samuel chukwueze,AC Milan,1.72,20000000.0,A,Serie
luka romero,CD Cruz Azul,1.69,5000000.0,A,Serie
francesco camarda,US Lecce,1.89,10000000.0,A,Serie
luka jović,Without Club,1.82,7000000.0,A,Serie
lorenzo colombo,AC Milan,1.83,6000000.0,A,Serie
olivier giroud,LOSC Lille,1.92,3000000.0,A,Serie
alex meret,SSC Napoli,1.9,12000000.0,A,Serie
pierluigi gollini,AS Roma,1.94,4000000.0,A,Serie
nikita contini,SSC Napoli,1.9,400000.0,A,Serie
hubert idasiak,LKS Lodz,1.88,150000.0,A,Serie
amir rrahmani,SSC Napoli,1.92,15000000.0,A,Serie
natan,Real Betis Balompié,1.88,12000000.0,A,Serie
leo østigård,Stade Rennais FC,1.83,8000000.0,A,Serie
juan jesus,SSC Napoli,1.85,2500000.0,A,Serie
luigi d'avino,Giugliano Calcio 1928,1.86,125000.0,A,Serie
mathías olivera,SSC Napoli,1.85,15000000.0,A,Serie
mário rui,Without Club,1.68,3500000.0,A,Serie
giovanni di lorenzo,SSC Napoli,1.83,15000000.0,A,Serie
alessandro zanoli,SSC Napoli,1.88,5000000.0,A,Serie
pasquale mazzocchi,SSC Napoli,1.83,3000000.0,A,Serie
stanislav lobotka,SSC Napoli,1.68,28000000.0,A,Serie
jens cajuste,SSC Napoli,1.88,10000000.0,A,Serie
leander dendoncker,Aston Villa,1.88,7000000.0,A,Serie
diego demme,Hertha BSC,1.7,800000.0,A,Serie
francesco gioielli,Atletico Calcio Afragolese,,175000.0,A,Serie
lorenzo russo,Guidonia Montecelio 1937 FC,1.82,100000.0,A,Serie
frank anguissa,SSC Napoli,1.84,27000000.0,A,Serie
