nombre,club_actual,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
harry kane,Bayern Munich,24.83850298821926,5.889719098806381,18.01851277425885,36,30.19251061975956,8.705299209803343,2024-2025,bundesliga
patrik schick,Bayer Leverkusen,13.808413846418262,0.8931068908423185,13.050637168809772,11,13.012595891952516,2.17465521954,2024-2025,bundesliga
serhou guirassy,Borussia Dortmund,24.67502747476101,3.927161391824484,21.64392078667879,25,28.84895157814026,5.983426092192531,2024-2025,bundesliga
jonathan burkardt,Mainz 05,15.531241215765476,3.2260143337771297,14.015687860548496,20,17.678049380891025,2.2389991842210293,2024-2025,bundesliga
tim kleindienst,Borussia M.Gladbach,15.641376122832298,6.164368532598019,14.125822767615318,28,22.16408023238182,5.898254873231053,2024-2025,bundesliga
ermedin demirovic,VfB Stuttgart,17.190185952931643,2.3308997359126806,15.674632657319307,18,18.022325498983264,3.6710129603743553,2024-2025,bundesliga
omar marmoush,Eintracht Frankfurt,10.454029858112335,6.4370531141757965,8.938476577401161,33,15.567543163895609,4.923579152673483,2024-2025,bundesliga
hugo ekitike,Eintracht Frankfurt,23.090678934007883,7.497596137225628,20.81734884157777,43,32.08109536021948,6.5742603074759245,2024-2025,bundesliga
benjamin sesko,RasenBallsport Leipzig,10.84312501270324,2.5418332908302546,9.327571731992066,19,14.85635886900127,4.552526947110891,2024-2025,bundesliga
nick woltemade,VfB Stuttgart,12.919283613562584,5.339851493015885,10.64595346339047,36,18.696467697620392,5.270718416199088,2024-2025,bundesliga
jamal musiala,Bayern Munich,11.052295371890068,5.645927414298058,11.052295371890068,41,23.51362369954586,10.554121501743792,2024-2025,bundesliga
michael olise,Bayern Munich,10.028207782655954,14.287162024527788,10.028207782655954,89,31.13305725902319,15.147963047027588,2024-2025,bundesliga
leroy sané,Bayern Munich,10.864085894078016,6.123259458690882,10.864085894078016,37,21.53510593622923,8.566130949184299,2024-2025,bundesliga
andrej kramaric,Hoffenheim,12.799855667166412,4.250613275915384,10.52652560081333,50,19.27825254201889,5.942930793389678,2024-2025,bundesliga
alassane pléa,Borussia M.Gladbach,6.866865694522858,3.265819158405065,6.10908904671669,25,13.179648963734508,6.668403459712863,2024-2025,bundesliga
shuto machino,Holstein Kiel,8.25303456094116,2.2886266466230154,6.73748121317476,26,12.449354909360409,6.3784140115603805,2024-2025,bundesliga
florian wirtz,Bayer Leverkusen,10.05364241823554,8.316964589059353,7.022535771131516,56,20.83097556233406,10.964113848283889,2024-2025,bundesliga
