nombre,club_actual,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
artem dovbyk,Girona,23.31381724774837,6.509533985517919,17.367596223950386,27,23.6771375015378,3.992590010166168,2023-2024,laliga
alexander sørloth,Villarreal,15.42916595377028,4.057515846565366,15.42916595377028,33,20.514578377828,3.432165618985892,2023-2024,laliga
robert lewandowski,Barcelona,17.914700919762254,5.09992503747344,14.941590474918485,27,25.661629386246204,9.227330034598708,2023-2024,laliga
jude bellingham,Real Madrid,12.974516276270151,5.894492693245411,12.231238637119532,48,27.42240233719349,15.474829688668253,2023-2024,laliga
ante budimir,Osasuna,15.208166905678809,2.322105295024812,12.23505643196404,12,12.838875048793852,1.577920326963067,2023-2024,laliga
antoine griezmann,Atletico Madrid,13.233244309201837,5.676792664453387,10.260133827105165,43,25.45843400619924,11.906192127615212,2023-2024,laliga
youssef en-nesyri,Sevilla,13.3881605733186,1.3884780388325453,12.64488290436566,9,14.379435012117028,2.695498451590538,2023-2024,laliga
álvaro morata,Atletico Madrid,17.68113228864968,2.8247487526386976,16.937854619696736,15,20.133963122963905,3.360558204352856,2023-2024,laliga
borja mayoral,Getafe,11.781445782631636,1.9314997978508472,8.808335237205029,20,12.544378835707905,2.4337577307596803,2023-2024,laliga
vinícius júnior,Real Madrid,15.999081552028656,4.433579048141837,15.255804002285004,31,20.517531529068947,4.835081744939089,2023-2024,laliga
gorka guruzeta,Athletic Club,13.0646229442209,3.0766469575464725,12.321345334872603,27,15.980735013261436,2.6838627718389034,2023-2024,laliga
hugo duro,Valencia,11.410676322877409,1.5678155571222303,11.410676322877409,15,14.390071650967002,2.716021410189569,2023-2024,laliga
jørgen strand larsen,Celta Vigo,16.671772304922342,2.7474186159670357,16.671772304922342,24,20.40579062514007,4.552490897476673,2023-2024,laliga
iñaki williams,Athletic Club,11.432036427780986,6.19192869309336,11.432036427780986,44,21.492380052804947,5.147575912997127,2023-2024,laliga
myrto uzuni,Granada,12.619373556226492,3.1601249799132347,8.902985572814941,18,10.58439028635621,1.75699582695961,2023-2024,laliga
joselu,Real Madrid,13.563519598916171,2.325238820165396,12.076964350417256,12,17.439819484949112,5.645642139017582,2023-2024,laliga
gerard moreno,Villarreal,9.997523443773389,5.868685748428106,7.767690574750304,53,16.735687041655183,7.895937273278832,2023-2024,laliga
willian josé,Real Betis,6.604414518922567,3.088982405140996,6.604414518922567,27,11.779934830963612,2.7242426984012127,2023-2024,laliga
rodrygo,Real Madrid,12.429995279759169,4.424967087805271,11.68671764060855,46,22.53792427107692,10.114376921206713,2023-2024,laliga
ayoze pérez,Real Betis,8.989579416811466,4.214360909536481,8.989579416811466,31,17.23151198029518,6.425478775054216,2023-2024,laliga
cristhian stuani,Girona,11.261974029242992,2.2404822162352502,11.261974029242992,10,11.822853227611631,0.315147440880537,2023-2024,laliga
mikel oyarzabal,Real Sociedad,10.142703792080283,2.1910949237644672,8.656148603186011,21,10.525855980813503,1.3151531964540482,2023-2024,laliga
ángel correa,Atletico Madrid,7.449641685932875,4.268415723927319,7.449641685932875,32,16.604389868676662,6.348268950358033,2023-2024,laliga
iago aspas,Celta Vigo,10.404229525476694,12.151071110740304,6.687841277569532,90,23.67988681048155,10.63012528140098,2023-2024,laliga
sergio arribas,Almeria,9.642353873699903,4.135038662701845,9.642353873699903,40,15.820769029669464,4.31053960043937,2023-2024,laliga
sávio,Girona,6.155738043598831,8.476998306810856,6.155738043598831,52,24.98598575219512,13.196425644680858,2023-2024,laliga
samu omorodion,"Alaves,Granada",13.301204808056356,1.8839029110968115,13.301204808056356,18,15.395711928606032,3.0258879344910383,2023-2024,laliga
isco,Real Betis,9.666563872247934,8.340999964624643,8.180008582770824,81,19.04085874557495,7.847405590116978,2023-2024,laliga
brahim diaz,Real Madrid,7.064669705927372,5.103312510065734,7.064669705927372,30,17.72036318667233,7.117511269636452,2023-2024,laliga
mason greenwood,Getafe,9.606171378865838,5.150464846752584,7.376338509842753,40,14.052480861544607,4.136063855141401,2023-2024,laliga
viktor tsygankov,Girona,7.182822577655315,6.8491873703897,7.182822577655315,35,18.071242179721597,9.44023699592799,2023-2024,laliga
fermín lópez,Barcelona,8.455701429396868,1.420464774593711,8.455701429396868,17,12.826990146189928,3.3985758498311043,2023-2024,laliga
morales,Villarreal,5.825236776843667,0.5933051854372025,5.825236776843667,5,8.629727041348815,2.665788280777633,2023-2024,laliga
pepelu,Valencia,6.94635817874223,3.3046364076435566,1.0002651019021869,52,11.623020177707076,10.69089342933148,2023-2024,laliga
alex berenguer,Athletic Club,5.9159444607794285,4.649526584893465,5.172794762998819,33,8.556869108229876,1.8393376246094704,2023-2024,laliga
portu,"Getafe,Girona",4.973772298544645,3.65421982575208,4.973772298544645,18,11.46655536815524,3.547722566872835,2023-2024,laliga
ferrán torres,Barcelona,6.14692690782249,2.06962201744318,6.14692690782249,26,11.04676415026188,4.374510854482651,2023-2024,laliga
joão félix,Barcelona,8.801812421530485,3.087745688855648,8.801812421530485,19,17.652851674705744,7.777922375127673,2023-2024,laliga
takefusa kubo,Real Sociedad,5.006727017462254,6.733130760490894,5.006727017462254,58,12.395342625677586,3.640120666474104,2023-2024,laliga
vedat muriqi,Mallorca,11.220534628257155,3.225141496397555,8.990829708054662,34,9.76861596852541,2.220715753734112,2023-2024,laliga
tasos douvikas,Celta Vigo,5.597069129347801,1.1894508870318532,5.597069129347801,8,6.697281435132027,0.6971121802926064,2023-2024,laliga
lucas boyé,Granada,7.1452496172860265,3.2088521169498563,7.1452496172860265,27,10.558177180588244,3.42706776317209,2023-2024,laliga
leo baptistao,Almeria,5.837608506903052,1.8269870448857544,5.837608506903052,19,10.266108710318804,3.071513507515192,2023-2024,laliga
marcos llorente,Atletico Madrid,4.876857055351138,6.641838442534208,4.876857055351138,26,19.585022961720824,10.337015140801668,2023-2024,laliga
