nombre,club_actual,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
erling haaland,Manchester City,32.761399537324905,5.8491098545491695,27.433209866285324,29,31.963398084044456,3.285816218703985,2022-2023,premier-league
harry kane,Tottenham,23.06444012373686,7.547407771460712,18.49742721766233,57,25.07911798357964,5.095352162607014,2022-2023,premier-league
ivan toney,Brentford,21.69119757413864,4.909892840310931,16.363018790259957,26,18.1100468672812,4.024585669860244,2022-2023,premier-league
mohamed salah,Liverpool,23.340063713490963,8.720245610922575,20.2953876554966,65,32.54413793236017,8.866782674565911,2022-2023,premier-league
callum wilson,Newcastle United,18.856768030673265,3.567963434383273,16.57326026633382,24,15.5175623819232,1.810890594497323,2022-2023,premier-league
marcus rashford,Manchester United,18.761760517954823,3.735412929207087,18.761760517954823,31,30.33111381344497,9.589746218174696,2022-2023,premier-league
martin odegaard,Arsenal,9.137760860845448,9.209956639446318,9.137760860845448,77,27.893760193139315,15.047104069963098,2022-2023,premier-league
gabriel martinelli,Arsenal,10.538134384900331,9.349485490471125,10.538134384900331,59,25.15087455138564,9.32091725245118,2022-2023,premier-league
ollie watkins,Aston Villa,17.486295863986015,3.674034003168345,15.963956996798515,30,22.16256415843964,5.435315723530948,2022-2023,premier-league
aleksandar mitrovic,Fulham,16.17901684064418,2.334498234093189,10.089664130471649,15,11.802805667743089,2.575260256417096,2022-2023,premier-league
bukayo saka,Arsenal,11.300049655139446,7.042980744503439,9.01654163748026,75,23.58317681774497,11.6032799705863,2022-2023,premier-league
rodrigo,Leeds,8.572983920574188,2.298705962486565,7.811814919114113,16,10.81273386068642,3.450525519438088,2022-2023,premier-league
harvey barnes,Leicester,9.120478011667728,3.107304636389017,9.120478011667728,19,14.723602913320065,3.649019580334425,2022-2023,premier-league
roberto firmino,Liverpool,8.122956335544586,3.0548400916159157,8.122956335544586,21,13.91264321282506,6.690170712769032,2022-2023,premier-league
gabriel jesus,Arsenal,16.171134389936924,4.243733491748571,15.409974373877048,31,22.476388424634933,6.94562154635787,2022-2023,premier-league
phil foden,Manchester City,6.185852009803057,5.697479462251067,6.185852009803057,44,17.42637488618493,8.101508693769574,2022-2023,premier-league
miguel almirón,Newcastle United,8.727059464901686,2.9551383573561907,8.727059464901686,26,14.478478658944368,5.557318415492773,2022-2023,premier-league
son heung-min,Tottenham,9.597895424813032,6.334341483190656,9.597895424813032,62,17.62133340537548,5.954911859706044,2022-2023,premier-league
alexander isak,Newcastle United,8.784851711243391,1.7707323329523206,7.262516763061285,15,11.15905637666583,2.8647358743473887,2022-2023,premier-league
james maddison,Leicester,8.489387180656195,7.773198906332254,6.967049431055784,69,15.354668013751509,6.399377454072237,2022-2023,premier-league
taiwo awoniyi,Nottingham Forest,8.0510318800807,1.02802275121212,8.0510318800807,10,7.681166335940361,0.7168999258428812,2022-2023,premier-league
alexis mac allister,Brighton,11.532242968678474,3.928120201453567,6.965230006724596,47,19.9106729477644,12.656914940103889,2022-2023,premier-league
eberechi eze,Crystal Palace,6.831764040514827,4.619440779089928,6.070595199242234,57,11.0957055054605,4.369746007025242,2022-2023,premier-league
pascal groß,Brighton,5.954401790164411,11.246030485257506,5.954401790164411,80,25.252408916130666,15.00836755335331,2022-2023,premier-league
james ward-prowse,Southampton,5.408911099657416,6.058508426882327,2.3642341531813145,72,10.5485019069165,8.641763718798757,2022-2023,premier-league
bryan mbeumo,Brentford,10.100785619579256,7.65799580514431,9.339616828598082,52,17.531262825243175,5.165040111169219,2022-2023,premier-league
darwin núñez,Liverpool,14.374805428087711,5.6468874625861645,14.374805428087711,28,20.277393620461226,3.4813443943858147,2022-2023,premier-league
julián álvarez,Manchester City,7.753276175819337,2.0468210969120264,6.992107159458101,18,13.768698140978811,5.820535558275878,2022-2023,premier-league
ilkay gündogan,Manchester City,7.842695340514183,3.444544769823551,7.081526502966881,37,23.573771215975285,15.498776016756892,2022-2023,premier-league
danny ings,"Aston Villa,West Ham",8.25754163786769,1.4635955430567265,6.735200669616461,15,8.444588728249073,0.8141068425029516,2022-2023,premier-league
bruno fernandes,Manchester United,9.385456696152689,17.266709440387785,7.863118812441826,118,35.418096881359816,17.724953144788742,2022-2023,premier-league
leandro trossard,"Arsenal,Brighton",7.068454213440418,6.358577378094196,7.068454213440418,47,16.329788200557232,6.749516544863582,2022-2023,premier-league
brennan johnson,Nottingham Forest,8.266518421471119,3.7432961594313374,5.983012191951275,28,12.170722473412752,2.8007613457739358,2022-2023,premier-league
granit xhaka,Arsenal,5.785433189943433,4.802904064767063,5.785433189943433,46,21.03214856982231,14.246417433023453,2022-2023,premier-league
kevin de bruyne,Manchester City,4.7582743894308805,16.31964398175478,4.7582743894308805,97,29.12851269170642,16.633560817688704,2022-2023,premier-league
wilfried zaha,Crystal Palace,7.797594489529729,2.760253319516778,6.275257470086217,26,11.746893677860498,4.086586587131023,2022-2023,premier-league
