nombre,club_actual,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
lautaro martínez,Inter,19.917103573679924,4.22837570309639,17.633207097649574,36,29.06748184561729,11.011354323476551,2023-2024,serie-a
dusan vlahovic,Juventus,18.15998312085867,2.7414223439991474,15.114787809550762,29,15.924202740192412,3.548745024949312,2023-2024,serie-a
olivier giroud,AC Milan,15.56334208138287,5.820083811879158,11.756847977638245,32,15.76063448563218,2.256007954478264,2023-2024,serie-a
victor osimhen,Napoli,17.077908156439662,3.6298218183219433,13.271414129063489,24,17.016105957329273,3.5706963166594505,2023-2024,serie-a
albert gudmundsson,Genoa,10.58288561925292,5.503198656253517,6.776391487568617,79,11.851484376937153,3.625112195499242,2023-2024,serie-a
hakan calhanoglu,Inter,9.97734544146806,4.402719554491341,2.3643571361899376,51,21.514875929802656,18.073472432792187,2023-2024,serie-a
romelu lukaku,Roma,11.805389358662069,2.7021777480840683,11.044090582989156,29,16.639348335564137,3.660405125468969,2023-2024,serie-a
duván zapata,"Atalanta,Torino",12.924597828648984,3.023106226697564,12.924597828648984,29,16.45599003881216,6.094204256311059,2023-2024,serie-a
paulo dybala,Roma,10.748245939612389,5.363411068916321,5.419154184870422,50,13.225863721221684,8.160132974386215,2023-2024,serie-a
marcus thuram,Inter,15.48910939320922,4.38146791793406,15.48910939320922,30,25.697542982175943,8.535633765161037,2023-2024,serie-a
christian pulisic,AC Milan,8.112775510177016,5.247536565177143,8.112775510177016,45,19.75232334434986,8.28600705601275,2023-2024,serie-a
gianluca scamacca,Atalanta,8.273879911750555,3.805969566106796,8.273879911750555,33,13.530910216271876,4.084158739075065,2023-2024,serie-a
nicolás gonzález,Fiorentina,10.854810073971748,2.028881089761853,8.570913629606366,22,10.353842929005625,3.5413291305303574,2023-2024,serie-a
joshua zirkzee,Bologna,9.106743048876524,6.0383808510378,7.584145395085216,43,16.887928269803524,6.857426970265806,2023-2024,serie-a
teun koopmeiners,Atalanta,6.477179829031229,6.847522427327931,4.954582165926695,59,18.902232628315687,11.484685834497212,2023-2024,serie-a
andrea pinamonti,Sassuolo,10.101071687415242,1.9918804159387944,7.817175218835473,18,12.745142171159388,4.147701982408762,2023-2024,serie-a
ademola lookman,Atalanta,11.020978674292564,6.360278395935893,11.020978674292564,49,19.68611168302596,5.54826701618731,2023-2024,serie-a
khvicha kvaratskhelia,Napoli,12.988513953983784,6.76034078001976,12.988513953983784,63,24.399165177717805,8.898299863561988,2023-2024,serie-a
matìas soulè malvano,Frosinone,11.002136468887327,6.402062648907304,6.434343488886952,81,18.089630898088217,9.64729354903102,2023-2024,serie-a
riccardo orsolini,Bologna,8.406649756245315,5.7234551049768925,6.1227931855246425,36,10.48891113139689,2.694749374873936,2023-2024,serie-a
charles de ketelaere,Atalanta,7.576863840222359,7.673456937074661,6.815564997494221,49,17.62094940803945,7.474469909444451,2023-2024,serie-a
federico chiesa,Juventus,8.021589172072709,7.339922096580267,7.260290336795151,54,18.357803158462048,6.64956908300519,2023-2024,serie-a
domenico berardi,Sassuolo,6.615158909931779,3.4691362250596285,2.808664860203862,28,7.928557217121124,3.124533172696829,2023-2024,serie-a
milan djuric,"Monza,Verona",7.573165649548173,2.5195388458669186,5.289269166998565,21,9.16340547800064,3.656920501962304,2023-2024,serie-a
rafael leão,AC Milan,9.509692578576503,10.24364968854934,9.509692578576503,59,22.979722768068317,8.597919277846813,2023-2024,serie-a
giacomo bonaventura,Fiorentina,5.703772021457553,3.079216778278351,4.942473186179996,40,11.38205629400909,5.078366011381149,2023-2024,serie-a
lorenzo pellegrini,Roma,5.22588387876749,2.8655528174713254,4.464585058391094,36,8.608983617275953,4.905187401920557,2023-2024,serie-a
matteo politano,Napoli,7.065327040851116,8.613974200561643,4.781430587172508,70,19.03964001312852,10.029942949302496,2023-2024,serie-a
andrea colpani,Monza,5.195591009221971,6.015339965000749,5.195591009221971,57,16.83323433622718,8.72997466288507,2023-2024,serie-a
cyril ngonge,"Napoli,Verona",5.592625975608826,2.7090163761749864,5.592625975608826,30,8.655464269220829,2.435427289456129,2023-2024,serie-a
lorenzo lucca,Udinese,9.097997449338436,1.4457896761596205,9.097997449338436,20,10.78939988091588,1.7023183298297226,2023-2024,serie-a
ciro immobile,Lazio,10.90908194705844,2.2230643928050995,7.863886579871178,17,12.374241132289171,3.2814318612217903,2023-2024,serie-a
mateo retegui,Genoa,7.062236865982413,0.9539305465295912,6.300938048399985,12,7.494548461399972,2.6804171930998564,2023-2024,serie-a
walid cheddira,Frosinone,9.744923711754382,1.1241850014775991,8.983624876476824,16,11.387159596197309,2.7390568777918816,2023-2024,serie-a
nikola krstovic,Lecce,12.602945871651173,2.69566588755697,10.31904935836792,40,13.926026972942054,3.329130887985229,2023-2024,serie-a
ruben loftus-cheek,AC Milan,3.988019663840532,2.216939765959978,3.988019663840532,25,11.732238488271832,6.346873274073005,2023-2024,serie-a
m&#039;baye niang,Empoli,5.77756480500102,0.9350745789706708,2.732369536533952,8,3.5163778346031904,0.9474569149315356,2023-2024,serie-a
mario pasalic,Atalanta,7.94828999787569,5.14187899697572,6.425692372024059,31,16.404161186888814,7.419036481529474,2023-2024,serie-a
andrea belotti,"Fiorentina,Roma",7.542850721627474,2.6303337272256613,7.542850721627474,13,10.188461167737842,3.012017218396068,2023-2024,serie-a
matías vecino,Lazio,4.235215881839395,0.4754638131707907,4.235215881839395,7,8.142204336822033,5.13212438300252,2023-2024,serie-a
antonio candreva,Salernitana,4.409524447284639,5.322269272059202,3.6482256120070815,60,9.028309136629105,2.9924242617562413,2023-2024,serie-a
mattia zaccagni,Lazio,5.531386425718665,2.13460570666939,5.531386425718665,29,10.9565597102046,4.790194280445576,2023-2024,serie-a
davide frattesi,Inter,8.650838863104582,2.203672669827938,8.650838863104582,10,12.41026128269732,3.0905153434723616,2023-2024,serie-a
luka jovic,AC Milan,5.654392594471574,1.2098798044025898,5.654392594471574,11,6.618622664362192,0.5274116210639477,2023-2024,serie-a
matteo pessina,Monza,6.191244266927242,1.2209580885246396,2.3847501277923584,27,13.443852856755257,10.650530990213156,2023-2024,serie-a
lazar samardzic,Udinese,3.76485834363848,5.842832416296005,3.0035595083609223,61,7.7469049682840705,5.526285901665688,2023-2024,serie-a
éderson,Atalanta,4.507856946438551,1.5685449875891209,4.507856946438551,18,16.61496058665216,12.260867228731511,2023-2024,serie-a
kristian thorstvedt,Sassuolo,4.574479971081018,1.940694333985448,4.574479971081018,37,8.221251201815903,3.545681210234761,2023-2024,serie-a
lewis ferguson,Bologna,6.609099584631622,3.129140879958868,6.609099584631622,33,14.55499241221696,7.731563315726817,2023-2024,serie-a
lucas beltrán,Fiorentina,3.811171130277216,2.241196360439062,3.049872324801981,25,6.6004968136549,2.8438814617693424,2023-2024,serie-a
noah okafor,AC Milan,4.565763399004936,1.1466773133724928,4.565763399004936,8,6.369675822556019,1.8827040195465088,2023-2024,serie-a
marko arnautovic,Inter,5.603070825338364,2.8958673030138016,5.603070825338364,16,9.66440336406231,2.5932205468416214,2023-2024,serie-a
florian thauvin,Udinese,5.913654111325741,5.438421674072743,5.152355298399925,38,12.571636833250524,4.254050675779581,2023-2024,serie-a
felipe anderson,Lazio,5.540468875318766,6.976992512121797,5.540468875318766,42,19.13297401927412,9.109817018732429,2023-2024,serie-a
luis alberto,Lazio,5.471688620746136,6.289189122617245,5.471688620746136,64,16.42470671236515,8.889257160015404,2023-2024,serie-a
federico dimarco,Inter,3.2087074536830187,9.558618923649192,3.2087074536830187,63,18.552083106711507,12.900610843673348,2023-2024,serie-a
luca mazzitelli,Frosinone,2.270628267899156,1.240358730778098,2.270628267899156,12,8.944092478603125,6.5332458689808846,2023-2024,serie-a
antonio sanabria,Torino,10.537829289212825,1.1701391767710447,9.015231618657708,15,12.769075983203948,5.5119775626808405,2023-2024,serie-a
theo hernández,AC Milan,5.673698761500418,5.116860808804631,4.151101096533239,44,19.027444131672382,14.8872380964458,2023-2024,serie-a
adrien rabiot,Juventus,3.885295913554728,4.415788423269987,3.885295913554728,26,12.9052067771554,7.400138486176729,2023-2024,serie-a
nicolas viola,Cagliari,3.5457330187782645,4.302946716547012,2.784434213303029,33,5.8647221913561225,2.654928490519524,2023-2024,serie-a
armand lauriente,Sassuolo,6.066018413752317,4.80344538576901,6.066018413752317,47,11.795659732073544,3.543833694420755,2023-2024,serie-a
roberto piccoli,"Empoli,Lecce",6.925743224099279,1.3456403650343418,6.164444388821721,10,7.418892973102629,2.8612514436244965,2023-2024,serie-a
giacomo raspadori,Napoli,6.702579943463206,4.483555294573307,5.941281167790294,36,13.592910822480915,5.701834740117192,2023-2024,serie-a
gianluca gaetano,"Cagliari,Napoli",2.4068917855620384,2.226691184565425,1.645592950284481,21,3.941987328231335,1.3649292774498465,2023-2024,serie-a
lucas martínez quarta,Fiorentina,2.6196879521012306,1.475505298934877,2.6196879521012306,14,7.482435021549463,6.212520699948072,2023-2024,serie-a
michael folorunsho,Verona,4.301565490663052,1.3998309317976236,4.301565490663052,18,6.740188028663397,2.493741159327328,2023-2024,serie-a
giovanni fabbian,Bologna,4.738078761845827,1.9500266648828983,4.738078761845827,16,5.781427254900336,1.8028524331748488,2023-2024,serie-a
tijjani noslin,Verona,3.635997879318893,1.871297030709684,3.635997879318893,26,7.412537131458521,2.347518300637603,2023-2024,serie-a
fikayo tomori,AC Milan,3.608174130320549,0.1108320206403732,3.608174130320549,4,8.231157934293151,8.09448311291635,2023-2024,serie-a
leonardo pavoletti,Cagliari,3.134023245424032,0.6250302419066429,3.134023245424032,7,3.234085081145168,1.0611830335110426,2023-2024,serie-a
arkadiusz milik,Juventus,5.394047812558711,3.4170331433415413,5.394047812558711,15,8.824270950630307,1.2191411405801773,2023-2024,serie-a
roberto pereyra,Udinese,4.360814411193132,2.3164268862456083,3.5995155163109303,25,6.53267246298492,2.878888551145792,2023-2024,serie-a
houssem aouar,Roma,3.093056729063392,0.3638733401894569,3.093056729063392,10,4.6208417396992445,1.4368452914059162,2023-2024,serie-a
gianluca mancini,Roma,2.5976381422951818,0.9861035160720348,2.5976381422951818,10,9.495561430230737,9.208332350477576,2023-2024,serie-a
boulaye dia,Salernitana,4.597895558923483,0.5252823103219271,3.8365967236459255,10,4.8020573407411575,0.8395658656954765,2023-2024,serie-a
marco brescianini,Frosinone,2.032998721115291,2.1246125996112823,2.032998721115291,22,7.01019527669996,3.680753684602678,2023-2024,serie-a
szymon zurkowski,Empoli,1.4531914927065372,0.1119957510381937,1.4531914927065372,4,2.1714146435260773,0.6975974515080452,2023-2024,serie-a
ruslan malinovskiy,Genoa,0.9845063956454396,0.5905360467731953,0.9845063956454396,11,3.0354270953685045,2.2007417865097523,2023-2024,serie-a
daniel maldini,"Empoli,Monza",1.815977042540908,0.97320815641433,1.815977042540908,12,3.545224618166685,1.6822674944996834,2023-2024,serie-a
alexis saelemaekers,Bologna,2.824991188943386,3.0194268077611923,2.824991188943386,44,8.58481384627521,4.7481407187879086,2023-2024,serie-a
lorenzo colombo,Monza,4.194637024775147,0.4335366464219987,4.194637024775147,8,6.460399262141436,1.996957939118147,2023-2024,serie-a
giulio maggiore,Salernitana,3.3743705889210105,0.9672145377844572,3.3743705889210105,11,5.2626653630286455,3.6049116821959615,2023-2024,serie-a
matteo cancellieri,Empoli,5.752293495461345,3.437209785915911,5.752293495461345,17,8.570779743604362,1.7997431829571724,2023-2024,serie-a
denzel dumfries,Inter,3.937063835561276,4.1486883871257305,3.937063835561276,27,10.218461418524384,5.086537055671215,2023-2024,serie-a
caleb ekuban,Genoa,3.069615147076547,1.6045123357325792,3.069615147076547,15,4.363434009253979,0.6763226184993982,2023-2024,serie-a
loum tchaouna,Salernitana,2.7410695469006896,2.286348751746118,2.7410695469006896,22,6.495509563945234,2.617133552208543,2023-2024,serie-a
zito,Cagliari,4.575773281976581,2.946080996654928,4.575773281976581,25,9.082523783668876,2.4096630979329348,2023-2024,serie-a
dany mota,Monza,5.251721445471048,3.44157709274441,5.251721445471048,34,11.03209387511015,5.333640689961612,2023-2024,serie-a
valentín castellanos,Lazio,6.691938574425876,1.9540263283997772,6.691938574425876,19,10.104372954927385,3.248108034953475,2023-2024,serie-a
federico gatti,Juventus,6.301926800981164,2.331916820257902,6.301926800981164,10,9.019049543887377,6.176881054416299,2023-2024,serie-a
darko lazovic,Verona,3.126208140514791,3.6228156751021743,2.364909335039556,31,7.023141970857978,2.464788753539324,2023-2024,serie-a
gianluca lapadula,Cagliari,4.980033218860626,1.364402815699577,4.218734428286552,19,5.2574767880141735,0.951296066865325,2023-2024,serie-a
bryan cristante,Roma,4.356771616265178,3.065107261762023,4.356771616265178,29,16.0614797398448,12.43504716642201,2023-2024,serie-a
leandro paredes,Roma,3.0285770436748862,2.5797851774841547,0.744680586270988,27,12.670357435941696,11.149565836414697,2023-2024,serie-a
stephan el shaarawy,Roma,2.4553019870072603,2.535477615892887,2.4553019870072603,20,8.6091322414577,5.056028000079095,2023-2024,serie-a
simy,Salernitana,3.1081032380461693,0.4330064160749316,3.1081032380461693,5,3.4764763563871384,0.6693851845338941,2023-2024,serie-a
piotr zielinski,Napoli,2.7691213600337505,3.8941668095067135,2.007822524756193,48,11.810004824772475,9.097011776641011,2023-2024,serie-a
francesco acerbi,Inter,1.4171453770250082,1.5421600556001067,1.4171453770250082,7,14.983083475381136,14.750613091513516,2023-2024,serie-a
federico bonazzoli,Verona,2.0861231544986367,1.164365341886878,2.0861231544986367,8,4.569867891259491,2.4164443155750632,2023-2024,serie-a
aleksey miranchuk,Atalanta,7.988960333168507,5.325843313708901,7.988960333168507,45,13.763345999643208,3.9943138379603615,2023-2024,serie-a
sardar azmoun,Roma,2.55787324719131,1.477016143500805,2.55787324719131,8,3.882671419531107,1.145880326628685,2023-2024,serie-a
thomas henry,Verona,3.1893111262470484,0.088482798077166,2.428012298420072,3,2.4909921092912555,0.3665539622306824,2023-2024,serie-a
rolando mandragora,Fiorentina,3.8466990552842617,1.4808170050382614,3.8466990552842617,13,4.725248294882476,2.650852335616946,2023-2024,serie-a
grigoris kastanos,Salernitana,2.410724989138544,2.1585450284183025,2.410724989138544,28,5.4913522163406014,2.433546317741275,2023-2024,serie-a
