nombre,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
mateo retegui,23.05881144106388,5.460668161511421,19.252317164093256,38,26.73618371039629,7.063065273687244,2024-2025,serie-a
moise kean,21.887753661721945,2.322036488913,20.365155961364508,19,22.372604370117188,2.2697757203131914,2024-2025,serie-a
ademola lookman,13.808704778552055,8.88729977607727,13.047405943274498,60,24.82031987607479,8.259659683331847,2024-2025,serie-a
riccardo orsolini,10.357791488990188,4.652595203369856,8.073895009234548,30,13.579532280564308,3.471814767457545,2024-2025,serie-a
romelu lukaku,13.292909391224384,4.244027925655246,10.247714065015316,34,16.940836619585752,4.888765563257039,2024-2025,serie-a
marcus thuram,12.12327221222222,4.545049572363496,12.12327221222222,39,20.54565922170877,6.454995878040791,2024-2025,serie-a
scott mctominay,8.857582463882864,2.8353318478912115,8.857582463882864,26,17.02024569362402,7.907815325073898,2024-2025,serie-a
lautaro martínez,14.972904972732069,5.210264602676034,14.972904972732069,37,20.420169971883297,4.456489903852344,2024-2025,serie-a
artem dovbyk,14.354873014613986,2.92091160826385,12.832275385037065,25,14.934369965456426,3.34222876932472,2024-2025,serie-a
lorenzo lucca,9.25349983945489,1.4154015257954595,8.492201004177332,14,9.291834384202955,1.9438087791204453,2024-2025,serie-a
christian pulisic,11.676121918484569,7.215573945082724,8.63092665374279,69,21.96822089701891,9.794868961907923,2024-2025,serie-a
nikola krstovic,12.192179908044636,3.5718187177553773,9.908283424563706,30,13.792114338837564,3.114339157938957,2024-2025,serie-a
pedro,6.393306020647287,1.4419082198292017,4.870708409696817,22,10.305274097248912,4.8102878127247095,2024-2025,serie-a
andrea pinamonti,7.931828275322914,1.8391901552677157,7.1705294996500015,15,12.397627600468695,4.713260012678802,2024-2025,serie-a
dusan vlahovic,15.096059490926564,1.744228720664978,12.050864440388978,16,16.02136825490743,3.582811534404754,2024-2025,serie-a
roberto piccoli,17.91569169005379,1.1450618766248226,17.154392854776233,11,18.1155537343584,2.081625021062792,2024-2025,serie-a
valentín castellanos,16.131397516466677,3.629513030871749,13.84750095102936,26,19.230164020322263,5.09424526616931,2024-2025,serie-a
tijjani reijnders,8.066354492679238,4.986120350658894,8.066354492679238,46,25.90405914932489,16.791109887883067,2024-2025,serie-a
boulaye dia,6.899342581629753,4.609769284725189,6.899342581629753,26,14.7047260357067,6.049787209369242,2024-2025,serie-a
