"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","temporada","liga"
"Bundesliga","Germany",2023,"Bayern Munich","1","Manuel Neuer","Goalkeeper",1986-03-27,38,"Germany","Bayern Munich","1.93","right","2011-07-01","FC Schalke 04",NA,4e+06,"https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","18","Daniel Peretz","Goalkeeper",2000-07-10,23,"Israel","Hamburger SV","1.9","right","2023-08-25","Maccabi Tel Aviv",NA,3e+06,"https://www.transfermarkt.com/daniel-peretz/profil/spieler/468539","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","26","Sven Ulreich","Goalkeeper",1988-08-03,35,"Germany","Without Club","1.92","right","2021-07-01","Hamburger SV",NA,7e+05,"https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","-","Max Schmitt","Goalkeeper",2006-01-18,18,"Germany","SSV Ulm 1846","1.89","right",NA,NA,NA,5e+05,"https://www.transfermarkt.com/max-schmitt/profil/spieler/937713","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","43","Tom Ritzy Hülsmann","Goalkeeper",2004-04-11,20,"Germany","TSV Hartberg","2.05","right",NA,NA,NA,250000,"https://www.transfermarkt.com/tom-ritzy-hulsmann/profil/spieler/639582","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","4","Matthijs de Ligt","Centre-Back",1999-08-12,24,"Netherlands","Manchester United","1.89","right","2022-07-19","Juventus FC",NA,6.5e+07,"https://www.transfermarkt.com/matthijs-de-ligt/profil/spieler/326031","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","-","Benjamin Pavard","Centre-Back",1996-03-28,28,"France","Inter Milan","1.86","right","2019-07-01","VfB Stuttgart",NA,5e+07,"https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","2","Dayot Upamecano","Centre-Back",1998-10-27,25,"France","Bayern Munich","1.86","right","2021-07-05","RB Leipzig",NA,4.5e+07,"https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","3","Min-jae Kim","Centre-Back",1996-11-15,27,"Korea, South","Bayern Munich","1.9","right","2023-07-18","SSC Napoli",NA,4.5e+07,"https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482","2023-2024","Bundesliga"
"Bundesliga","Germany",2023,"Bayern Munich","15","Eric Dier","Centre-Back",1994-01-15,30,"England","AS Monaco","1.91","right","2024-07-01","Tottenham Hotspur",NA,1.2e+07,"https://www.transfermarkt.com/eric-dier/profil/spieler/175722","2023-2024","Bundesliga"
