"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","temporada","liga"
"Serie A","Italy",2023,"Inter Milan","1","Yann Sommer","Goalkeeper",1988-12-17,35,"Switzerland","Inter Milan","1.83","right","2023-08-07","Bayern Munich",NA,5e+06,"https://www.transfermarkt.com/yann-sommer/profil/spieler/42205","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","77","Emil Audero","Goalkeeper",1997-01-18,27,"Indonesia","Como 1907","1.92","right","2023-08-10","UC Sampdoria",NA,5e+06,"https://www.transfermarkt.com/emil-audero/profil/spieler/256339","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","12","Raffaele Di Gennaro","Goalkeeper",1993-10-03,30,"Italy","Inter Milan","1.88","right","2023-07-13","AS Gubbio 1910",NA,3e+05,"https://www.transfermarkt.com/raffaele-di-gennaro/profil/spieler/70580","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Alessandro Calligaris","Goalkeeper",2005-03-07,19,"Italy","Inter U23",NA,"right",NA,NA,NA,150000,"https://www.transfermarkt.com/alessandro-calligaris/profil/spieler/746711","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","95","Alessandro Bastoni","Centre-Back",1999-04-13,25,"Italy","Inter Milan","1.9","left","2017-08-31","Atalanta BC",NA,7e+07,"https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","28","Benjamin Pavard","Centre-Back",1996-03-28,28,"France","Inter Milan","1.86","right","2023-08-30","Bayern Munich",NA,5e+07,"https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","31","Yann Bisseck","Centre-Back",2000-11-29,23,"Germany","Inter Milan","1.96","right","2023-07-12","Aarhus GF",NA,1.6e+07,"https://www.transfermarkt.com/yann-bisseck/profil/spieler/441986","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","6","Stefan de Vrij","Centre-Back",1992-02-05,32,"Netherlands","Inter Milan","1.89","right","2018-07-01","SS Lazio",NA,7e+06,"https://www.transfermarkt.com/stefan-de-vrij/profil/spieler/111196","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","15","Francesco Acerbi","Centre-Back",1988-02-10,36,"Italy","Inter Milan","1.92","left","2023-07-01","SS Lazio",NA,3500000,"https://www.transfermarkt.com/francesco-acerbi/profil/spieler/131075","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Giacomo Stabile","Centre-Back",2005-04-12,19,"Italy","Inter U23","1.87","left",NA,NA,NA,50000,"https://www.transfermarkt.com/giacomo-stabile/profil/spieler/936503","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","32","Federico Dimarco","Left-Back",1997-11-10,26,"Italy","Inter Milan","1.75","left","2018-07-05","FC Sion",NA,5e+07,"https://www.transfermarkt.com/federico-dimarco/profil/spieler/198116","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","30","Carlos Augusto","Left-Back",1999-01-07,25,"Brazil","Inter Milan","1.84","left","2024-07-01","AC Monza",NA,2.2e+07,"https://www.transfermarkt.com/carlos-augusto/profil/spieler/585982","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Matteo Motta","Left-Back",2005-02-10,19,"Italy","Inter U23",NA,"left",NA,NA,NA,1e+05,"https://www.transfermarkt.com/matteo-motta/profil/spieler/937342","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","2","Denzel Dumfries","Right-Back",1996-04-18,28,"Netherlands","Inter Milan","1.88","right","2021-08-14","PSV Eindhoven",NA,2.4e+07,"https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","36","Matteo Darmian","Right-Back",1989-12-02,34,"Italy","Inter Milan","1.83","right","2021-07-01","Parma Calcio 1913",NA,4e+06,"https://www.transfermarkt.com/matteo-darmian/profil/spieler/54906","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Tommaso Guercio","Right-Back",2005-06-01,19,"Poland","Slask Wroclaw","1.86","right",NA,NA,NA,3e+05,"https://www.transfermarkt.com/tommaso-guercio/profil/spieler/717900","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","20","Hakan Çalhanoğlu","Defensive Midfield",1994-02-08,30,"Türkiye","Inter Milan","1.78","right","2021-07-01","AC Milan",NA,4.5e+07,"https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","21","Kristjan Asllani","Defensive Midfield",2002-03-09,22,"Albania","Inter Milan","1.79","right","2023-07-01","FC Empoli",NA,1.8e+07,"https://www.transfermarkt.com/kristjan-asllani/profil/spieler/543771","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","42","Lucien Agoumé","Defensive Midfield",2002-02-09,22,"France","Sevilla FC","1.85","right","2019-07-05","FC Sochaux-Montbéliard",NA,6e+06,"https://www.transfermarkt.com/lucien-agoume/profil/spieler/569384","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Aleksandar Stanković","Defensive Midfield",2005-08-03,18,"Serbia","Inter Milan","1.85","right","2024-07-01","Inter Milan Primavera",NA,1e+06,"https://www.transfermarkt.com/aleksandar-stankovic/profil/spieler/780136","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","23","Nicolò Barella","Central Midfield",1997-02-07,27,"Italy","Inter Milan","1.75","right","2020-09-01","Cagliari Calcio",NA,8e+07,"https://www.transfermarkt.com/nicolo-barella/profil/spieler/255942","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","16","Davide Frattesi","Central Midfield",1999-09-22,24,"Italy","Inter Milan","1.78","right","2024-07-01","US Sassuolo",NA,3.5e+07,"https://www.transfermarkt.com/davide-frattesi/profil/spieler/394300","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","22","Henrikh Mkhitaryan","Central Midfield",1989-01-21,35,"Armenia","Inter Milan","1.77","both","2022-07-01","AS Roma",NA,6e+06,"https://www.transfermarkt.com/henrikh-mkhitaryan/profil/spieler/55735","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","14","Davy Klaassen","Central Midfield",1993-02-21,31,"Netherlands","Ajax Amsterdam","1.79","right","2023-09-01","Ajax Amsterdam",NA,4e+06,"https://www.transfermarkt.com/davy-klaassen/profil/spieler/182932","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","5","Stefano Sensi","Central Midfield",1995-08-05,28,"Italy","Without Club","1.68","right","2020-09-01","US Sassuolo",NA,3e+06,"https://www.transfermarkt.com/stefano-sensi/profil/spieler/216179","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Ebenezer Akinsanmiro","Central Midfield",2004-11-25,19,"Nigeria","Pisa Sporting Club","1.84","right","2024-07-01","Inter Milan Primavera",NA,1800000,"https://www.transfermarkt.com/ebenezer-akinsanmiro/profil/spieler/969192","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","17","Tajon Buchanan","Right Midfield",1999-02-08,25,"Canada","Inter Milan","1.83","right","2024-01-05","Club Brugge KV",NA,8e+06,"https://www.transfermarkt.com/tajon-buchanan/profil/spieler/638793","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","7","Juan Cuadrado","Right Midfield",1988-05-26,36,"Colombia","Without Club","1.76","right","2023-07-19","Juventus FC",NA,1e+06,"https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Issiaka Kamate","Right Winger",2004-08-02,19,"France","Inter U23","1.86","left","2024-07-01","Inter Milan Primavera",NA,1e+06,"https://www.transfermarkt.com/issiaka-kamate/profil/spieler/885623","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","11","Joaquín Correa","Second Striker",1994-08-13,29,"Argentina","Botafogo de Futebol e Regatas","1.88","right","2022-07-01","SS Lazio",NA,6e+06,"https://www.transfermarkt.com/joaquin-correa/profil/spieler/227081","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","10","Lautaro Martínez","Centre-Forward",1997-08-22,26,"Argentina","Inter Milan","1.74","right","2018-07-04","Racing Club",NA,1.1e+08,"https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","9","Marcus Thuram","Centre-Forward",1997-08-06,26,"France","Inter Milan","1.92","right","2023-07-01","Borussia Mönchengladbach",NA,6.5e+07,"https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","8","Marko Arnautovic","Centre-Forward",1989-04-19,35,"Austria","Red Star Belgrade","1.92","both","2024-07-01","Bologna FC 1909",NA,4e+06,"https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","70","Alexis Sánchez","Centre-Forward",1988-12-19,35,"Chile","Udinese Calcio","1.69","right","2023-08-26","Olympique Marseille",NA,2500000,"https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433","2023-2024","Serie A"
"Serie A","Italy",2023,"Inter Milan","-","Amadou Sarr","Centre-Forward",2004-06-28,20,"Senegal","Inter U23","1.9","left",NA,NA,NA,150000,"https://www.transfermarkt.com/amadou-sarr/profil/spieler/723771","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","16","Mike Maignan","Goalkeeper",1995-07-03,28,"France","AC Milan","1.91","right","2021-07-01","LOSC Lille",NA,3.8e+07,"https://www.transfermarkt.com/mike-maignan/profil/spieler/182906","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","57","Marco Sportiello","Goalkeeper",1992-05-10,32,"Italy","Atalanta BC","1.92","right","2023-07-01","Atalanta BC",NA,1500000,"https://www.transfermarkt.com/marco-sportiello/profil/spieler/199976","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","-","Noah Raveyre","Goalkeeper",2005-06-22,19,"France","Milan Futuro",NA,"right",NA,NA,NA,2e+05,"https://www.transfermarkt.com/noah-raveyre/profil/spieler/986180","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","69","Lapo Nava","Goalkeeper",2004-01-22,20,"Italy","US Cremonese","1.97","right","2023-07-01","Milan Primavera",NA,150000,"https://www.transfermarkt.com/lapo-nava/profil/spieler/815563","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","83","Antonio Mirante","Goalkeeper",1983-07-08,40,"Italy",NA,"1.93","right","2021-10-13","Without Club",NA,1e+05,"https://www.transfermarkt.com/antonio-mirante/profil/spieler/22141","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","-","Andrea Bartoccioni","Goalkeeper",2004-03-14,20,"Italy","AC Renate","1.96","right",NA,NA,NA,50000,"https://www.transfermarkt.com/andrea-bartoccioni/profil/spieler/815550","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","-","Lorenzo Torriani","Goalkeeper",2005-01-31,19,"Italy","AC Milan","1.97","right","2024-07-01","AC Milan Primavera",NA,10000,"https://www.transfermarkt.com/lorenzo-torriani/profil/spieler/939745","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","23","Fikayo Tomori","Centre-Back",1997-12-19,26,"England","AC Milan","1.85","right","2021-07-01","Chelsea FC",NA,4e+07,"https://www.transfermarkt.com/fikayo-tomori/profil/spieler/303254","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","28","Malick Thiaw","Centre-Back",2001-08-08,22,"Germany","AC Milan","1.94","right","2022-08-29","FC Schalke 04",NA,2.5e+07,"https://www.transfermarkt.com/malick-thiaw/profil/spieler/521964","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","20","Pierre Kalulu","Centre-Back",2000-06-05,24,"France","Juventus FC","1.82","right","2020-09-01","Olympique Lyon B",NA,2e+07,"https://www.transfermarkt.com/pierre-kalulu/profil/spieler/585949","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","46","Matteo Gabbia","Centre-Back",1999-10-21,24,"Italy","AC Milan","1.85","right","2017-07-01","Milan Primavera",NA,8e+06,"https://www.transfermarkt.com/matteo-gabbia/profil/spieler/323167","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","-","Jan-Carlo Simić","Centre-Back",2005-05-02,19,"Serbia","RSC Anderlecht","1.86","right","2024-07-01","AC Milan Primavera",NA,5e+06,"https://www.transfermarkt.com/jan-carlo-simic/profil/spieler/800948","2023-2024","Serie A"
"Serie A","Italy",2023,"AC Milan","31","Marco Pellegrino","Centre-Back",2002-07-18,21,"Argentina","CA Boca Juniors","1.84","left","2023-08-22","Club Atlético Platense",NA,3500000,"https://www.transfermarkt.com/marco-pellegrino/profil/spieler/776303","2023-2024","Serie A"
